GATE_SU_UB: 554.6915,470.5107,689.7567,460.237,1,0
GATE_UB_LF: -2120.948,987.8087,-2071.823,970.9188,1,0
GATE_UB_SL: 2069.493,-1611.078,1584.198,-1433.591,1,0
UB_69: 1573.644,-820.3837,1411.302,-739.1234,0,1
UB_HUB: 357.6908,433.5107,528.757,417.237,1,1
UB_longroom: 1674.723,-1231.385,1282.429,-1251.513,1,1
UB_room10: -131.2612,-196.7279,-219.7675,-434.2507,1,1
UB_room11: -120.5688,-405.1124,-225.2288,-603.02,1,1
UB_room12: -395.3678,28.89768,-375.9057,-89.91064,1,1
UB_room13: -688.1188,33.46001,-683.9681,-73.16059,2,1
UB_room14: -114.3541,61.9309,9.678808,135.3692,2,1
UB_room15: 1059.758,-187.0702,840.6801,-91.63119,2,1
UB_room16: 600.9155,-18.64896,341.3104,96.68508,2,1
UB_room17: 1458.81,-219.1484,1233.36,-136.5656,1,1
UB_room18: -926.7654,301.3125,-812.3647,221.9619,1,1
UB_room2: 358.6912,167.5107,492.7558,181.2371,1,1
UB_room20: 1171.48,-343.7197,1017.17,-301.4699,1,1
UB_room21: 982.6622,-349.8108,833.8983,-263.879,1,1
UB_room22: 1660.833,-433.2457,1499.77,-417.3574,0,1
UB_room23: 1801.001,-308.5788,1618.895,-203.6494,1,1
UB_room24: -831.7648,121.3131,-695.3655,101.9622,1,1
UB_room25: -872.691,-109.502,-660.1064,-408.1489,1,1
UB_room26: 1811.232,-413.3773,1873.876,-395.5897,2,1
UB_room27: 158.7039,-381.1439,103.3067,-673.6566,2,1
UB_room28: -959.2336,499.76,-854.5281,412.8595,1,1
UB_room29: -654.6069,508.26,-600.4048,405.5783,1,1
UB_room3: 349.6914,-86.48982,494.7558,-28.76227,1,1
UB_room30: 1167.909,-524.4371,1014.897,-476.6344,1,1
UB_room31: 1472.258,-247.7315,1624.515,-59.28066,2,1
UB_room33: 1410.944,-522.6459,1662.716,-451.681,2,1
UB_room34: -1299.556,590.6046,-1109.895,454.0413,2,1
UB_room35: -1221.556,224.6041,-867.8932,2.041823,1,1
UB_room38: 961.184,-499.9745,840.8676,-513.7744,2,1
UB_room4: 373.6912,-343.4892,440.7553,-245.7627,1,1
UB_room40: 1390.617,-620.8207,1213.893,-501.0308,0,1
UB_room41: 1071.394,-686.3954,651.8676,-499.1558,1,1
UB_room42: -1477.658,238.6041,-1261.766,49.21033,1,1
UB_room43: -1293.943,-67.06242,-1094.48,-9.003745,1,1
UB_room44: -1736.99,361.6585,-1439.433,181.2514,1,1
UB_room46: -1696.193,734.1586,-1408.776,480.6835,1,1
UB_room47: -1706.525,885.9359,-1439.708,677.4388,2,1
UB_room48: -1660.525,1044.94,-1437.708,917.4388,1,1
UB_room49: -1421.013,988.9578,-1437.667,1100.482,1,1
UB_room5: 624.4058,-310.0608,651.8994,-209.3344,2,1
UB_room50: -1363.773,1168.334,-1396.49,1296.067,1,1
UB_room51: -1196.346,1036.209,-1249.25,1156.419,1,1
UB_room52: -1071.674,1206.96,-1137.197,1312.049,1,1
UB_room53: -1363.482,1405.71,-1320.792,1426.779,1,1
UB_room54: -1721.068,1475.37,-1743.527,1523.268,1,1
UB_room55: -1657.919,1348.924,-1712.676,1297.585,2,1
UB_room56: 1099.699,-639.0948,1044.633,-735.179,0,1
UB_room57: 1314.128,-687.7375,1209.794,-740.929,1,1
UB_room58: 1453.916,-876.5267,1310.76,-959.8604,1,1
UB_room59: 107.2459,-263.3202,205.3465,-508.2724,1,1
UB_room6: 304.4051,-296.0611,199.8985,-204.3344,0,1
UB_room60: 346.9233,-603.9814,354.3633,-515.3405,1,1
UB_room61: 684.0897,-790.8146,625.0291,-813.9073,1,1
UB_room62: 976.9423,-900.7162,771.5703,-762.6121,1,1
UB_room63: 1314.119,-1096.665,917.6505,-1021.596,1,1
UB_room64: 1886.04,-1500.904,1434.667,-1456.279,1,1
UB_room65: -1566.947,1133.809,-1805.824,1128.919,2,1
UB_room66: -2056.662,1079.381,-2069.781,1099.905,2,1
UB_room67: -2307.662,1012.38,-2226.781,1025.905,1,1
UB_room7: -4.594646,-280.0611,-57.10118,-213.3344,0,1
UB_room8: -480.5942,-307.0608,-33.10106,-457.3339,0,1
UB_room9: -210.5945,-318.0608,-171.1013,-200.3344,0,1
UB_Shelter1: 133.691,425.5107,304.756,295.2369,1,0
UB_shelter2: -146.569,-407.9694,-13.37216,-608.3773,2,0
UB_shelter3: 1988.001,-307.5788,1737.895,-191.6494,1,0
UB_shelter4: -1051.572,1019.331,-1091.25,1088.867,2,0
UB_shelter5: 1860.725,-1742.385,1401.429,-1587.513,1,0
UB_small: -1404.947,1276.809,-1550.824,1266.919,2,1
OffScreenDen_UB: -652.3088,-315.4896,800.7567,303.2373,1,1
Connection: GATE_SU_UB,UB_HUB,2,12,41,15,2,0
Connection: GATE_UB_LF,UB_room67,2,12,55,7,2,0
Connection: GATE_UB_SL,UB_room64,2,9,62,12,2,0
Connection: UB_69,UB_room58,35,5,49,35,3,0
Connection: UB_HUB,UB_Shelter1,3,9,34,21,2,0
Connection: UB_HUB,UB_room2,29,3,44,72,3,1
Connection: UB_longroom,UB_room63,9,91,169,9,2,0
Connection: UB_longroom,UB_room64,58,16,2,106,0,2
Connection: UB_room10,UB_room9,29,71,6,5,1,3
Connection: UB_room10,UB_room14,48,71,49,22,1,3
Connection: UB_room10,UB_room59,71,45,18,88,0,2
Connection: UB_room10,UB_room11,26,10,11,45,3,1
Connection: UB_room10,UB_shelter2,36,7,26,26,3,1
Connection: UB_room11,UB_room27,63,16,3,8,0,2
Connection: UB_room12,UB_room14,65,39,24,36,0,1
Connection: UB_room12,UB_room13,3,36,112,34,2,0
Connection: UB_room13,UB_room24,17,27,24,9,1,3
Connection: UB_room13,UB_room25,17,15,67,54,3,1
Connection: UB_room14,UB_room16,73,38,1,19,0,2
Connection: UB_room15,UB_room38,98,52,60,72,2,1
Connection: UB_room15,UB_room16,22,56,67,20,2,0
Connection: UB_room15,UB_room17,134,43,45,63,0,2
Connection: UB_room15,UB_room5,22,35,44,10,2,0
Connection: UB_room17,UB_room20,14,15,55,48,2,0
Connection: UB_room17,UB_room22,78,11,22,99,0,2
Connection: UB_room18,UB_room28,54,54,75,17,1,3
Connection: UB_room18,UB_room24,82,12,24,23,0,1
Connection: UB_room2,UB_room3,39,12,41,47,3,1
Connection: UB_room20,UB_room21,17,29,40,11,3,0
Connection: UB_room20,UB_room30,30,6,31,32,3,1
Connection: UB_room22,UB_room23,37,99,17,13,0,2
Connection: UB_room22,UB_room26,38,45,14,48,3,3
Connection: UB_room22,UB_room40,15,19,106,51,3,1
Connection: UB_room23,UB_shelter3,30,13,16,15,0,2
Connection: UB_room24,UB_room35,2,17,53,21,2,0
Connection: UB_room25,UB_room8,98,9,14,79,0,2
Connection: UB_room26,UB_room31,8,99,109,37,2,0
Connection: UB_room27,UB_room4,98,32,18,27,0,2
Connection: UB_room28,UB_room34,2,26,113,8,2,0
Connection: UB_room28,UB_room29,115,20,17,12,0,2
Connection: UB_room3,UB_room4,51,25,48,56,3,2
Connection: UB_room30,UB_room33,72,13,15,35,0,2
Connection: UB_room30,UB_room38,4,10,63,17,2,0
Connection: UB_room31,UB_room33,51,15,25,59,3,1
Connection: UB_room34,UB_room44,11,34,58,105,2,0
Connection: UB_room34,UB_room35,13,10,5,70,3,2
Connection: UB_room35,UB_room42,58,57,60,106,0,0
Connection: UB_room35,UB_room43,13,17,18,30,1,0
Connection: UB_room38,UB_room41,43,8,37,26,3,1
Connection: UB_room4,UB_room5,62,56,3,24,0,2
Connection: UB_room40,UB_room56,2,73,67,74,2,0
Connection: UB_room40,UB_room41,4,34,67,23,2,0
Connection: UB_room42,UB_room44,3,75,66,24,3,0
Connection: UB_room42,UB_room43,41,23,50,22,3,1
Connection: UB_room44,UB_room46,52,116,38,3,1,3
Connection: UB_room46,UB_room47,24,56,41,4,1,3
Connection: UB_room47,UB_room48,27,73,14,6,1,3
Connection: UB_room48,UB_room49,56,18,10,14,3,2
Connection: UB_room49,UB_room51,72,24,4,6,0,2
Connection: UB_room5,UB_room6,3,10,85,17,2,0
Connection: UB_room50,UB_room53,77,18,39,3,1,3
Connection: UB_room50,UB_room52,119,31,5,19,0,2
Connection: UB_room50,UB_room51,87,2,4,33,3,2
Connection: UB_room51,UB_shelter4,61,13,23,19,3,2
Connection: UB_room53,UB_room54,3,60,66,25,2,0
Connection: UB_room54,UB_room55,54,10,11,57,3,1
Connection: UB_room55,UB_small,68,17,2,32,0,2
Connection: UB_room56,UB_room57,68,17,3,19,0,2
Connection: UB_room57,UB_room58,60,6,9,72,3,1
Connection: UB_room58,UB_room63,40,4,142,37,2,1
Connection: UB_room59,UB_room60,63,16,53,26,0,2
Connection: UB_room6,UB_room7,3,27,64,42,2,0
Connection: UB_room60,UB_room61,119,14,17,90,0,1
Connection: UB_room61,UB_room62,49,34,14,20,0,3
Connection: UB_room62,UB_room63,106,3,15,31,3,1
Connection: UB_room64,UB_shelter5,14,4,25,25,3,1
Connection: UB_room65,UB_small,165,37,63,7,1,3
Connection: UB_room65,UB_room66,2,8,119,22,2,0
Connection: UB_room66,UB_room67,3,12,55,30,2,0
Connection: UB_room7,UB_room9,19,29,39,25,2,0
Connection: UB_room7,UB_room8,19,17,100,39,2,0
Connection: UB_room8,UB_room9,100,68,39,9,0,0
