AB_CD01: -1782.848,84.93601,-1801.657,77.83307,0,1
AB_CD02: -1767.848,189.9359,-1786.657,182.833,0,1
AB_CT01: -289.8482,82.93593,-308.6571,75.83298,0,1
AB_CT02: -118.8484,215.9361,-139.6573,201.8332,0,1
AB_CT03: -278.8479,208.9361,-297.6568,201.8332,0,1
AB_CT04: -452.8479,232.9359,-471.6568,225.833,0,1
AB_CT05: -376.8482,352.9358,-395.6571,345.8329,0,1
AB_CT06: -121.8482,355.9358,-140.6571,348.8329,0,1
AB_CT07: -304.8482,539.936,-323.6571,532.8331,0,1
AB_CT08: -684.8483,497.9361,-703.6572,490.8332,0,1
AB_CT09: -316.8482,687.936,-335.6571,680.8331,0,1
AB_CT10: -402.8479,-41.06387,-421.6568,-48.16681,0,1
AB_CT11: -255.8484,-146.0639,-274.6572,-153.1668,0,1
AB_CT13: -241.8484,-411.0642,-260.6572,-418.1671,1,1
AB_CV01: 1188.152,-151.0639,1169.343,-158.1668,1,1
AB_CV02: 836.1517,-258.0642,817.3428,-265.1671,1,1
AB_CV03: 992.153,-434.0642,973.3441,-441.1671,2,1
AB_CV04: 424.1518,-366.0642,570.343,-260.1671,1,1
AB_DE01: 1659.152,804.936,1640.343,797.8331,1,1
AB_DE02: 1665.152,406.9358,1646.343,399.8329,1,1
AB_DE03: 1855.152,975.936,1832.343,1003.833,1,1
AB_DE04: 1659.353,120.9116,1640.544,113.8087,1,1
AB_DI01: 1854.152,777.936,1835.343,770.8331,1,1
AB_DI02: 1838.152,588.936,1813.343,625.8331,1,1
AB_DI03: 1824.152,381.9358,1914.343,311.8329,1,1
AB_DI04: 1849.152,81.93604,1841.343,73.83311,1,1
AB_DI05: 1454.386,58.03604,1463.577,121.9331,1,1
AB_DI06: 1875.668,162.3229,1791.859,274.22,2,1
AB_DI07: 1793.22,311.3676,1763.411,393.2647,2,1
AB_DT01: 723.1512,-472.0642,704.3424,-479.1671,2,1
AB_DT02: 483.1515,-497.0642,577.3426,-540.1671,2,1
AB_DT03: 381.1521,-500.0642,572.3432,-409.1671,2,1
AB_DT04: 233.1519,-609.064,164.3431,-562.1669,2,1
AB_DT05: -10.84839,-590.064,-29.65723,-597.1669,2,1
AB_DT06: -1084.848,-471.0642,-1103.657,-478.1671,2,1
AB_DT07: -1338.848,-451.0642,-1357.657,-458.1671,2,1
AB_DT08: -1515.848,-443.0642,-1534.657,-450.1671,2,1
AB_DT09: -1699.848,-468.0642,-1718.657,-475.1671,2,1
AB_DT10: -1847.848,-493.0642,-1866.657,-500.1671,2,1
AB_DT11: -1697.848,-220.0641,-1714.657,-278.167,1,1
AB_S01: 1963.152,-20.06391,1969.343,-23.16685,2,0
AB_S02: 465.1517,-646.064,412.3428,-564.1669,2,0
AB_S03: -109.8482,126.9361,-6.657059,202.8332,2,0
AB_S04: -882.8488,-467.0639,-837.6576,-429.1668,0,0
AB_S05: -1734.848,155.9359,-1632.657,174.833,2,0
AB_S06: -2093.848,-574.064,-2112.657,-581.1669,1,0
AB_S07: 468.0015,-30.04073,656.1926,-156.1437,2,0
AB_SS01: 1269.152,50.93621,1176.343,89.83326,0,1
AB_SS02: 854.1522,-5.063887,835.3433,-12.16683,0,1
AB_SS03: 458.1517,64.93617,592.3428,83.83323,0,1
AB_SS04: -1374.848,93.93584,-1393.657,86.83289,0,1
AB_SS05: 468.1517,45.93616,652.3428,-37.16677,1,1
AB_TC01: 135.1518,69.93617,116.343,62.83323,0,1
AB_TC02: -742.8488,180.9361,-761.6576,173.8332,0,1
AB_TC03: -996.8488,-83.06407,-922.6576,-109.167,0,1
AB_TC04: 16.66772,414.452,-2.141123,407.3491,0,1
AB_TF01: -1980.848,-35.06402,-1999.657,-42.16696,0,1
AB_TF02: -1980.848,-404.0642,-1999.657,-411.1671,0,1
AB_TT01: 172.1518,-343.0642,153.343,-350.1671,1,1
AB_TT02: 8.151579,-360.0642,-10.65726,-367.1671,1,1
AB_TT03: -659.8488,-348.0642,-678.6576,-355.1671,1,1
AB_TT04: -1155.848,-191.0641,-1045.657,-81.16702,0,1
AB_TT05: -1265.848,-102.064,-1178.657,-150.1669,1,1
AB_TT06: -1444.848,-25.06395,-1332.657,-57.16689,1,1
GATE_AB_LF: -1833.538,-35.1351,-1839.347,-90.23803,1,0
GATE_AB_SL: 2087.127,981.9286,2068.318,974.8257,1,0
GATE_SL_AB: 2053.152,172.9361,2049.343,273.8332,2,0
OffScreenDen_AB: -156.8484,210.9359,-670.6573,5.832985,1,1
Connection: AB_CD01,AB_CD02,24,23,19,3,3,3
Connection: AB_CD01,AB_TF01,11,8,53,101,3,0
Connection: AB_CD01,AB_SS04,56,7,6,11,3,3
Connection: AB_CD02,AB_S05,27,12,12,19,0,2
Connection: AB_CT01,AB_CT03,95,29,19,8,1,2
Connection: AB_CT01,AB_TC01,141,16,4,20,0,2
Connection: AB_CT01,AB_TC02,8,12,103,19,2,0
Connection: AB_CT01,AB_CT10,22,10,16,31,3,1
Connection: AB_CT02,AB_CT06,31,33,26,8,1,3
Connection: AB_CT02,AB_CT03,5,15,44,17,2,0
Connection: AB_CT02,AB_S03,38,10,34,29,3,1
Connection: AB_CT03,AB_CT04,13,33,53,14,1,0
Connection: AB_CT04,AB_TC02,11,11,103,65,2,0
Connection: AB_CT05,AB_TC02,8,21,103,89,2,0
Connection: AB_CT05,AB_CT06,102,19,6,22,0,2
Connection: AB_CT06,AB_TC04,44,10,16,11,0,1
Connection: AB_CT07,AB_CT09,56,31,26,11,1,0
Connection: AB_CT07,AB_TC04,115,6,7,69,0,2
Connection: AB_CT07,AB_CT08,3,4,42,18,2,3
Connection: AB_CT10,AB_CT11,44,10,8,65,0,2
Connection: AB_CT11,AB_CT13,41,22,43,70,3,1
Connection: AB_CT13,AB_TT02,97,53,5,16,0,2
Connection: AB_CT13,AB_TT03,7,44,157,15,2,0
Connection: AB_CT13,AB_DT05,81,18,2,62,0,2
Connection: AB_CV01,AB_SS02,3,62,147,17,2,0
Connection: AB_CV01,AB_CV02,8,10,158,49,2,0
Connection: AB_CV02,AB_SS02,30,74,17,9,1,3
Connection: AB_CV02,AB_CV04,15,5,91,11,2,0
Connection: AB_CV02,AB_CV03,144,5,40,31,3,1
Connection: AB_CV03,AB_DT01,9,9,104,21,2,0
Connection: AB_CV04,AB_TT01,10,16,42,10,2,0
Connection: AB_CV04,AB_DT03,28,9,27,29,3,1
Connection: AB_DE01,AB_DE03,41,129,4,15,0,2
Connection: AB_DE01,AB_DI02,44,22,10,7,0,2
Connection: AB_DE01,AB_DE02,41,7,41,110,0,0
Connection: AB_DE02,AB_DI07,43,45,7,57,0,2
Connection: AB_DE02,AB_DE04,43,6,54,66,0,1
Connection: AB_DE03,GATE_AB_SL,43,13,2,9,0,2
Connection: AB_DE03,AB_DI01,23,4,22,70,3,1
Connection: AB_DE04,AB_DI06,58,47,2,12,0,2
Connection: AB_DE04,AB_DI05,12,23,54,20,2,0
Connection: AB_DE04,AB_DI04,35,8,4,21,0,2
Connection: AB_DI01,AB_DI02,25,1,38,32,3,1
Connection: AB_DI02,AB_DI03,33,3,43,69,3,1
Connection: AB_DI03,AB_DI04,24,8,15,72,2,1
Connection: AB_DI04,AB_DI07,5,54,41,14,2,0
Connection: AB_DI04,AB_S01,43,22,11,28,3,2
Connection: AB_DI05,AB_SS01,6,17,82,19,2,0
Connection: AB_DI06,GATE_SL_AB,45,15,2,11,0,2
Connection: AB_DT01,AB_DT02,8,17,33,29,2,0
Connection: AB_DT02,AB_DT03,21,3,39,4,3,3
Connection: AB_DT03,AB_DT04,2,5,66,55,2,0
Connection: AB_DT04,AB_S02,102,19,15,20,0,2
Connection: AB_DT04,AB_DT05,14,6,45,7,2,0
Connection: AB_DT06,AB_TC03,89,67,41,3,1,0
Connection: AB_DT06,AB_S04,102,52,9,28,0,2
Connection: AB_DT06,AB_DT07,4,35,41,11,2,0
Connection: AB_DT07,AB_DT08,6,5,56,11,2,0
Connection: AB_DT08,AB_DT09,8,11,40,5,2,3
Connection: AB_DT09,AB_DT11,23,29,22,5,1,3
Connection: AB_DT09,AB_DT10,5,5,42,8,3,0
Connection: AB_DT10,AB_TF02,8,6,55,20,2,0
Connection: AB_DT11,GATE_AB_LF,10,100,36,5,2,3
Connection: AB_S06,AB_TF02,40,25,14,18,1,2
Connection: AB_S07,AB_SS05,30,28,30,9,1,3
Connection: AB_SS01,AB_SS02,7,9,145,49,2,0
Connection: AB_SS02,AB_SS03,6,48,91,5,2,0
Connection: AB_SS03,AB_SS05,51,23,22,28,3,1
Connection: AB_SS03,AB_TC01,9,11,91,11,2,0
Connection: AB_SS04,AB_TC03,201,7,2,121,0,2
Connection: AB_SS04,AB_TT06,57,7,13,4,2,2
Connection: AB_SS04,AB_TT05,145,6,38,68,3,0
Connection: AB_TC02,AB_TC03,7,14,46,120,2,0
Connection: AB_TC03,AB_TT04,2,31,44,10,2,0
Connection: AB_TC03,AB_TT03,46,13,2,15,0,2
Connection: AB_TF01,AB_TF02,49,12,48,112,0,0
Connection: AB_TT01,AB_TT02,4,5,45,16,2,0
Connection: AB_TT04,AB_TT05,3,7,15,15,2,3
Connection: AB_TT05,AB_TT06,3,63,61,25,2,3
