GATE_SI_AR: -1343.375,20.03434,-1106.037,290.8361,1,0
GATE_SI_CC: 2460.17,238.1223,2022.154,278.6129,1,0
GATE_SI_LF: -335.8309,-784.8777,-235.8474,-892.3868,0,0
GATE_SI_TM: -955.9838,198.1694,-558.2516,549.6372,2,0
SI_A02: 476.2462,-274.6199,502.3269,-405.2062,0,1
SI_A06: 789.2467,746.3801,664.3269,833.7938,1,2
SI_A07: 790.2467,870.3801,665.3269,999.7937,1,2
SI_A17: -782.7521,34.37999,-526.6735,-16.20637,2,1
SI_A18: -478.7533,31.37999,-280.6733,-4.206377,2,1
SI_A20: 1510.926,203.6705,1261.457,124.31,2,1
SI_A21: 1650.926,203.6705,1399.457,128.31,2,1
SI_A23: 291.2467,-275.6199,346.3267,-417.2062,0,1
SI_A27: 774.2467,97.38012,748.3265,-59.20634,2,1
SI_A28: -579.7425,-335.966,-407.8471,-328.3871,2,1
SI_B01: 1588.249,209.3802,1270.328,268.7938,1,1
SI_B02: 780.2467,374.3801,667.3269,421.7935,1,2
SI_B03: -998.7514,-224.6198,-765.6735,-467.2062,0,1
SI_B04: 787.2467,563.3801,665.3269,579.7938,1,2
SI_B09: 801.247,-183.6198,664.3269,-373.2062,1,1
SI_B10: 719.2467,-48.62004,615.3269,-141.2063,2,1
SI_B11: -644.753,-121.6198,-533.6735,-289.2061,0,1
SI_B12: -1000.751,16.38002,-773.6735,-198.2064,0,1
SI_B13: -394.213,-611.5115,-351.7513,-759.6101,0,1
SI_C01: -87.7538,29.38008,-155.673,115.7937,1,1
SI_C02: -617.753,37.37999,-516.6735,111.7937,1,1
SI_C03: 1175.247,210.3802,899.3265,259.7938,1,1
SI_C04: 398.2462,28.38008,231.3268,115.7937,1,1
SI_C05: -629.753,-95.61978,-408.6735,-211.2061,2,1
SI_C06: 868.247,-28.61993,891.3265,-234.2061,2,1
SI_C07: -629.753,280.3801,-409.6735,238.7938,1,1
SI_C08: -52.75329,-286.6199,-95.67309,-433.2062,0,1
SI_C09: -1001.525,-551.4897,-788.0323,-781.8868,0,1
SI_CAS: 570.823,997.6033,662.2455,1130.402,1,0
SI_D01: 776.2467,142.3801,600.3269,140.7939,1,1
SI_D03: 2070.249,223.3802,1595.328,264.7935,1,1
SI_D05: -402.7535,-122.6198,-284.673,-315.2063,0,1
SI_D06: -609.753,-282.6199,-627.6735,-428.2062,0,1
SI_D07: -688.8246,-611.8589,-615.8528,-760.8702,0,1
SI_E01: -440.3736,-63.96566,-271.0385,229.8361,1,1
SI_E02: -755.374,-63.96566,-747.0385,264.8361,1,1
SI_E03: -1199.375,-45.96566,-984.0373,227.8361,1,1
SI_E04: -1313.375,-153.9658,-1103.037,85.83577,1,1
SI_E05: -1055.375,-83.96566,-868.0372,215.8361,1,1
SI_E06: -1054.396,-28.07681,-868.5262,342.2137,1,1
SI_S03: -419.4417,-875.0721,-348.8476,-957.9981,0,0
SI_S03P: -795.8653,-869.8488,-501.9289,-887.3906,0,1
SI_S04: -481.3622,-71.86157,-282.9265,-116.235,2,0
SI_S05: 664.6367,94.1384,470.0738,-63.2351,2,0
SI_TM01: 145.0162,216.1694,93.74828,552.6372,2,1
SI_TM02: -538.9838,183.1694,-407.2517,535.6372,2,1
OffScreenDen_SI: 201.2467,847.3801,-1110.672,232.7936,1,1
Connection: GATE_SI_AR,SI_E03,45,9,4,32,0,2
Connection: GATE_SI_CC,SI_D03,2,9,192,17,2,0
Connection: GATE_SI_LF,SI_B13,11,19,48,46,1,3
Connection: GATE_SI_LF,SI_S03,11,5,32,23,3,0
Connection: GATE_SI_TM,SI_TM02,45,9,7,16,0,2
Connection: SI_A02,SI_B09,45,13,16,10,3,3
Connection: SI_A02,SI_A23,6,13,28,6,3,3
Connection: SI_A06,SI_A07,21,33,23,7,1,3
Connection: SI_A06,SI_B04,23,8,24,72,3,3
Connection: SI_A07,SI_CAS,32,6,27,14,3,3
Connection: SI_A17,SI_C02,43,10,53,9,0,2
Connection: SI_A17,SI_C05,13,2,10,88,3,3
Connection: SI_A18,SI_C02,4,10,100,9,2,0
Connection: SI_A18,SI_C05,21,1,43,88,3,3
Connection: SI_A18,SI_S04,27,4,28,30,3,1
Connection: SI_A20,SI_A21,41,17,3,17,0,2
Connection: SI_A20,SI_B01,17,11,17,7,3,1
Connection: SI_A23,SI_C08,27,30,141,36,3,0
Connection: SI_A27,SI_D01,18,33,54,49,1,3
Connection: SI_A27,SI_S05,9,8,31,9,2,0
Connection: SI_A27,SI_C06,38,6,16,92,0,2
Connection: SI_A28,SI_C05,6,27,29,24,1,3
Connection: SI_A28,SI_D06,41,27,129,13,1,3
Connection: SI_B01,SI_C03,8,10,138,6,3,3
Connection: SI_B01,SI_D03,101,10,24,6,3,3
Connection: SI_B02,SI_B04,80,15,39,19,2,3
Connection: SI_B02,SI_D01,5,21,22,67,3,3
Connection: SI_B03,SI_B12,29,72,31,8,2,3
Connection: SI_B03,SI_D06,49,14,3,11,0,2
Connection: SI_B03,SI_C09,7,11,14,104,3,2
