GATE_DS_SB: 673.6324,534.688,535.8354,373.5188,2,0
GATE_LF_SB: -987.0838,1339.661,-602.1243,1141.24,1,0
GATE_RW_SB: -737.4265,-789.4453,-569.826,-667.8813,2,0
GATE_SB_AR: 2133,850.0729,1566.1,765.3442,0,0
GATE_SB_SL: 4325.918,573.6633,3125.874,372.2399,1,0
GATE_SB_TM: -764.1146,1010.13,-605.8099,842.0936,0,0
GATE_SB_TR: 3420.451,816.2704,2654.647,856.9489,0,0
SB_A01: -835.6432,372.2701,-527.8406,260.4738,2,1
SB_A02: -1015.643,-866.7296,-691.8403,-608.5264,2,2
SB_A03: -171.6429,443.2704,-31.84096,367.4738,1,1
SB_A04: -954.6432,405.2701,-602.8405,412.474,1,1
SB_A05: -1291.643,-1156.731,-857.8403,-1054.527,0,2
SB_A06: -1575.64,-1158.731,-1034.84,-1070.526,0,2
SB_A07: -2289.64,-1045.731,-1590.842,-863.5264,1,2
SB_A08: -2243.64,-925.7296,-1510.842,-653.5261,2,2
SB_A09: -1414.234,850.9783,-916.7258,760.1209,1,0
SB_A10: -977.3542,1095.605,-604.8649,991.2619,1,0
SB_A11: -797.5811,260.9714,-519.7739,129.1696,1,1
SB_A12: -196.5808,263.9714,-71.77365,114.1698,1,1
SB_A13: -1112.062,405.5882,-712.6635,411.043,1,1
SB_A14: -750.5006,-971.8502,-511.5582,-827.4479,1,2
SB_B01: -497.6426,286.2701,-388.841,126.4741,1,1
SB_B02: -130.6428,384.2702,-88.84089,255.4738,2,1
SB_B03: -2406.642,-874.7296,-1656.842,-661.5261,1,2
SB_C01: -527.6426,379.2702,-404.841,263.4738,2,1
SB_C05: 4.357081,-33.73001,59.15929,-40.5267,2,0
SB_C06: 254.3569,297.2704,203.1587,217.4738,2,0
SB_C07: 2337.358,540.2704,1589.158,358.4733,0,1
SB_C08: -2356.582,-1565.137,-1806.576,-1223.67,1,2
SB_C09: -423.5823,-1690.137,-416.5733,-1396.67,1,2
SB_D01: -2808.268,-1518.096,-2039.374,-1226.083,1,2
SB_D02: -1149.644,-972.7296,-936.8406,-822.5264,1,2
SB_D03: -2787.642,-946.7296,-2102.842,-667.5261,1,2
SB_D04: 527.3572,296.2701,428.1584,49.47353,2,3
SB_D05: -1612.64,-1049.731,-1219.843,-953.5264,0,2
SB_D06: 0.3570817,-743.7296,55.15919,-734.5272,2,0
SB_D07: -3092.642,-1228.731,-2148.842,-1106.526,1,2
SB_E01: -1700.268,-1560.096,-1490.374,-1226.083,1,2
SB_E02: 2936.358,653.2704,1937.158,569.4736,1,1
SB_E03: -1839.64,-966.7296,-1476.839,-821.5264,1,2
SB_E04: 216.3569,536.2704,2.15924,500.4736,1,1
SB_E05: -274.643,-971.7296,-343.8407,-870.5264,1,2
SB_E06: -914.2695,-1571.096,-967.3723,-1231.083,1,2
SB_F01: 1083.36,308.2701,704.1608,23.47356,2,3
SB_F02: 288.3568,-6.729905,192.1591,-66.52662,2,3
SB_F03: -1155.619,1034.073,-741.9866,735.6686,1,0
SB_G02: 3863.358,653.2704,2505.158,569.4736,1,1
SB_G03: 1234.36,552.2704,550.1584,504.4737,1,1
SB_H02: -559.6428,491.2704,-476.841,427.4736,1,1
SB_H03: -1183.644,606.2704,-916.8406,503.4737,1,1
SB_I01: 186.3572,-364.7298,77.15919,-377.5261,2,3
SB_J01: 2155.358,590.2704,1289.158,496.4736,1,1
SB_J02: 2947.358,460.2704,1934.158,274.4738,0,1
SB_J03: 2274.358,392.2699,1432.158,127.4738,1,0
SB_J04: -1629.64,-877.7296,-1285.843,-659.5264,2,2
SB_L01: -14.26931,-1929.096,-280.3723,-1563.083,1,2
SB_Q01: 2469,748.0729,1811.1,637.3442,0,1
SB_Q02: 2365,833.0729,1691.1,753.3442,0,1
SB_ROOTACCESS: 2870.943,771.2538,2020.5,769.1948,0,1
SB_ROOTSAVE: 3404.007,658.6733,2653.935,721.1788,0,0
SB_S01: 185.5143,-197.3765,427.7852,-49.42903,1,0
SB_S02: 2806.248,323.8356,2255.817,-9.204254,1,0
SB_S03: 253.6324,292.6882,311.8357,255.5186,2,0
SB_S04: 513.3555,575.8605,312.3692,374.5569,2,0
SB_S05: 4464.683,655.9814,3257.31,569.7354,1,0
SB_S06: -1562.501,556.1498,-1042.558,513.5521,1,0
SB_S07: -554.348,172.9631,-368.6599,-5.939554,1,0
SB_S08: -590.4102,-789.545,-447.076,-669.6649,2,0
SB_TM01: -232.1145,674.1299,-98.81007,653.0936,0,1
SB_TM02: -325.1146,658.1299,-229.8101,698.0936,0,1
SB_TM03: -87.11462,784.1299,25.18994,817.0936,0,1
SB_TM04: -452.1146,803.1299,-357.81,843.0936,0,1
SB_TM05: -627.1146,884.1299,-479.81,811.0936,0,1
OffScreenDen_SB: -583.6428,-302.7298,571.1584,-88.52673,1,1
Connection: GATE_DS_SB,SB_D04,11,5,42,142,3,0
Connection: GATE_LF_SB,SB_F03,2,9,50,209,2,0
Connection: GATE_RW_SB,SB_A02,36,19,46,16,1,0
Connection: GATE_RW_SB,SB_S08,44,9,11,9,0,3
Connection: GATE_SB_AR,SB_Q02,42,10,6,16,0,2
Connection: GATE_SB_SL,SB_G02,11,19,322,1,1,3
Connection: GATE_SB_TM,SB_TM05,45,9,22,62,0,1
Connection: GATE_SB_TR,SB_ROOTACCESS,2,9,290,28,2,0
Connection: GATE_SB_TR,SB_ROOTSAVE,11,5,15,26,3,1
Connection: SB_A01,SB_A04,3,17,48,6,2,0
Connection: SB_A01,SB_A11,6,4,5,21,3,1
Connection: SB_A01,SB_C01,48,7,5,4,0,3
Connection: SB_A02,SB_J04,3,29,252,55,2,0
Connection: SB_A02,SB_D02,11,6,133,8,3,3
Connection: SB_A03,SB_TM01,4,31,23,12,1,3
Connection: SB_A03,SB_E04,46,31,27,8,1,3
Connection: SB_A03,SB_H02,3,11,199,21,2,0
Connection: SB_A03,SB_A12,40,3,41,29,3,0
Connection: SB_A04,SB_H02,48,27,11,20,0,2
