GATE_BL_TM: 2675.206,-1295.226,1994.358,-1088.913,0,0
GATE_SB_TM: -2337.794,-1574.226,-1906.642,-1422.913,2,0
GATE_SI_TM: 266.6715,-74.75938,422.7883,-142.0573,1,0
GATE_TM_US: 423.3333,494.5946,1662.126,-1582.369,1,0
TM_A01: -136.6098,4264.916,130.8917,3582.206,1,1
TM_A02: -137.1493,3695.677,131.9588,3052.03,1,1
TM_A03: -136.3666,3212.751,132.9999,2823.884,1,1
TM_A04: 9.92187,2885.331,280.3159,2558.06,1,1
TM_A05: 19.81781,2484.2,282.2628,2262.936,1,1
TM_B01: -132.9011,2952.488,129.1146,2506.445,1,1
TM_B02: -275.0583,2555.175,-29.63564,2079.974,1,1
TM_B03: -336.3914,2124.005,-22.65428,1770.857,1,1
TM_B04: -448.3177,1736.631,-126.5058,1541.041,1,1
TM_B05: -367.9572,1406.555,-30.50591,1250.481,1,1
TM_B06: -123.0264,1288.274,375.1702,1365.232,1,1
TM_B07: 23.12549,2247.019,282.4426,2129.708,1,1
TM_B08: 99.53635,1865.334,333.8671,1672.906,1,1
TM_B09: 99.96384,1457.375,515.2712,1423.676,1,1
TM_B10: -126.2313,1682.797,170.9833,1795.604,0,1
TM_B11: -129.4582,1481.774,163.915,1563.945,0,1
TM_B12: -120.4634,1401.021,352.2001,1494.499,1,1
TM_B13: -93.13268,1312.907,212.9839,1402.065,0,1
TM_B14: -42.21788,1143.441,-241.59,1032.854,0,1
TM_B15: -40.71829,807.5655,-246.0393,803.5274,0,1
TM_B16: -40.9769,404.2457,-246.1028,322.3524,0,1
TM_C01: -430.5182,610.2053,-517.7797,613.5074,1,1
TM_C02: -293.205,368.9719,-769.7407,417.2339,1,1
TM_C03: -368.644,66.31983,-608.9365,90.77782,1,1
TM_C04: -118.6133,-156.9559,-355.6304,83.04308,0,1
TM_C05: -350.2206,1180.365,-67.32774,1123.142,1,1
TM_C06: -23.65195,1154.086,189.3618,1133.939,1,1
TM_C07: 334.6414,1129.151,452.9278,1121.109,1,1
TM_C08: -132.0245,963.1941,-65.48257,956.3305,2,1
TM_C09: 505.3481,968.9745,347.7509,958.0514,2,1
TM_C10: 695.642,881.4637,812.1155,872.4225,1,1
TM_C11: -331.3155,817.1725,-87.7,816.4889,2,1
TM_C12: -80.23148,830.4181,90.00967,840.8518,2,1
TM_C13: -238.7448,463.5075,-65.08975,355.7632,2,1
TM_C14: -44.91531,742.4058,146.9663,699.1554,2,1
TM_C15: 156.7496,654.667,324.1944,710.9657,1,1
TM_C16: 443.3499,652.8661,487.6957,705.3656,1,1
TM_C17: 374.1281,409.0888,457.5838,371.0334,1,1
TM_C18: 333.6573,105.7159,403.1604,115.0202,1,1
TM_C19: 37.45748,78.71578,93.95978,106.2206,1,1
TM_C20: 82.45687,-40.28265,88.95978,-38.78058,1,1
TM_C21: 393.0031,-206.9097,543.0848,-174.7173,0,1
TM_C22: 779.2629,978.6074,615.4095,977.8545,2,1
TM_C23: 382.9926,382.5158,818.7333,136.6477,2,1
TM_C24: -5.341063,251.8489,245.6497,369.149,2,1
TM_C25: -6.957983,-6.868381,248.3815,142.8899,2,1
TM_C26: 153.6842,-35.86938,397.81,-6.964947,2,1
TM_C27: 294.859,14.8025,662.7983,113.1405,2,1
TM_C28: -10.02045,-188.3369,244.5724,6.994442,2,1
TM_C29: 153.6189,-329.1726,267.5018,-252.4159,0,1
TM_C30: 386.7932,-459.6063,546.3271,-316.7639,0,1
TM_D01: -1205.257,-443.2777,-1215.395,-457.9849,1,1
TM_D02: -291.0956,-272.1435,-538.9299,-142.5359,1,1
TM_D03: -400.9846,-662.1906,-665.4235,-542.6156,1,1
TM_D04: -922.254,-609.9099,-1081.408,-678.3228,1,1
TM_D05: -1621.851,-793.027,-1470.138,-514.9702,2,1
TM_D06: -1471.952,-777.5978,-1525.395,-662.9845,1,1
TM_D07: -31.06793,-769.424,-492.8399,-741.1148,1,1
TM_D08: 525.4321,-778.4594,-149.5454,-733.0119,1,1
TM_D09: -1214.24,-994.0262,-1206.836,-932.8341,1,1
TM_D10: -510.5782,-498.9699,-810.0673,-375.3622,1,1
TM_D11: -37.86434,-488.8146,-223.0661,-292.0403,0,1
TM_D12: 391.2307,-900.4417,328.8404,-902.1659,0,1
TM_D13: 44.87377,-951.208,22.19068,-923.406,2,1
TM_D14: 118.3088,-769.6386,-277.9379,-603.6734,2,1
TM_D15: -39.69092,-1265.64,-381.9385,-1214.675,2,1
TM_D16: -242.85,-1438.208,-527.7957,-1193.436,2,1
TM_D17: -159.0866,-627.1339,-350.1914,-420.9984,1,1
TM_D18: -596.5386,-777.7022,-723.364,-743.664,1,1
TM_E01: -790.9802,-1271.687,-1114.781,-1204.754,1,1
TM_E02: -1680.83,-1122.258,-1441.539,-1077.649,1,1
TM_E03: -1537.183,-1324.714,-1553.878,-1208.675,1,1
