GATE_SB_TR: -4553.281,-432.9434,-3018.188,-260.8468,1,0
GATE_TR_SH: 4040.848,-232.9091,2763.906,-30.40559,2,0
GATE_UW_TR: 963.9586,2295.998,705.4363,1716.476,1,0
TR_ROOT01: -4226.286,-531.944,-2897.188,-387.8471,1,1
TR_ROOT02: -3568.958,-489.6105,-2582.191,-301.8469,1,1
TR_ROOT03: -3127.204,-604.8609,-2068.436,-503.8472,1,1
TR_ROOT04: -3838.006,-679.8601,-2574.441,-553.6474,0,1
TR_ROOT05: -3494.841,-746.6933,-2422.772,-498.1473,0,1
TR_ROOT06: -3040.984,-765.8363,-2066.624,-631.8617,0,1
TR_ROOT07: -2631.229,-478.0868,-1948.999,-320.3613,1,1
TR_ROOT08: -2795.23,-656.4198,-1943.999,-537.3617,0,1
TR_ROOT09: -2477.027,-704.0199,-1707.499,-601.5614,0,1
TR_ROOT10: -2396.393,-605.8385,-1531.045,-464.6522,0,1
TR_ROOT11: -2035.807,-528.005,-1405.376,-375.819,1,1
TR_ROOT12: -1709.422,-617.3128,-1062.839,-427.1267,1,1
TR_ROOT13: -1238.419,-472.1698,-1070.839,-304.4116,1,1
TR_ROOT14: -1231.288,-644.2362,-857.2377,-585.8125,1,1
TR_ROOT15: -692.6601,-623.0487,-542.6123,-583.3125,0,1
TR_ROOT16: -331.1327,-394.0485,-340.3788,-292.7237,1,1
TR_ROOT17: 135.4796,-246.3819,74.51094,-133.3352,1,1
TR_ROOT18: 445.4247,-440.1714,87.82544,-415.7564,2,1
TR_ROOT19: 711.5227,-236.5213,557.8218,-127.3067,1,1
TR_ROOT20: 898.427,-284.7595,702.2513,-52.97313,1,1
TR_ROOT21: -265.934,-596.5784,-210.9729,-559.7915,0,1
TR_ROOT22: 451.3265,-698.4035,242.3755,-622.2696,1,1
TR_ROOT23: 49.49409,-668.862,17.29161,-617.8946,1,1
TR_ROOT24: -1278.586,-481.6224,-946.0283,-448.3341,0,1
TR_ROOT25: -1570.01,-669.1607,-1078.952,-625.6424,0,1
TR_ROOT26: -2026.901,-680.1236,-1389.803,-617.0127,0,1
TR_ROOT27: 787.1272,-617.7716,567.3926,-619.1294,1,1
TR_ROOT28: 1133.294,-433.9046,707.0915,-338.1292,2,1
TR_ROOT29: 1238.099,-305.9371,820.1872,-189.4521,1,1
TR_ROOT30: 1724.659,-438.2496,1080.437,-316.4517,1,1
TR_ROOT31: 2198.839,-482.0375,1504.772,-395.2098,1,1
TR_ROOT32: 2456.428,-481.3023,1725.887,-360.2388,1,1
TR_ROOT33: 3011.513,-439.645,1843.116,-306.5814,1,1
TR_ROOT34: 3085.18,-510.6174,2096.728,-148.9154,2,1
TR_ROOT35: 2953.396,-277.9956,1908.432,64.65225,2,1
TR_ROOT36: 2574.818,-468.6271,1834.616,-169.0321,2,1
TR_ROOT37: 2472,-621.1402,1770.361,-489.5194,2,1
TR_ROOT38: 2091.698,-732.5148,1314.059,-623.469,2,1
TR_ROOT39: 1891.599,-578.5393,1280.059,-478.6887,2,1
TR_ROOT40: -101.7326,-64.3856,-43.1651,-77.03805,1,1
TR_ROOT41: 75.18427,118.2392,78.56424,121.0453,1,1
TR_ROOT42: 539.3465,35.36163,414.5635,-29.97511,2,1
TR_ROOT43: 710.3858,265.2815,556.6236,141.3651,1,1
TR_ROOT44: 886.797,110.321,678.5055,138.5611,1,1
TR_ROOT45: 867.3283,2133.273,542.415,1584.616,1,1
TR_ROOT46: 34.40378,2002.383,4.415688,1496.266,1,1
TR_ROOT47: -535.5223,2020.785,-407.4936,1516.084,1,1
TR_ROOT48: 451.0613,2085.565,321.1433,1526.7,2,1
TR_ROOT49: 453.5527,424.7681,309.4148,346.1044,2,1
TR_ROOT50: 710.6695,747.2179,544.9139,453.3711,2,1
TR_ROOT51: 532.6034,1783.612,424.6515,1288.241,2,1
TR_ROOT52: 245.1529,165.8858,223.813,172.288,1,1
TR_ROOT53: 531.7396,1171.807,429.2098,756.669,2,1
TR_ROOT54: 375.5682,972.9003,312.4914,764.06,2,1
TR_ROOT55: 717.6608,1549.1,546.9374,1024.139,2,1
TR_ROOT56: 456.6304,1498.509,317.5588,1161.986,2,1
TR_ROOT57: 374.2872,1193.046,314.32,914.1347,2,1
TR_ROOT58: 347.7971,868.3956,198.1673,627.7807,2,1
TR_ROOT59: 189.7538,1260.539,183.8244,762.8808,2,1
TR_ROOT60: 3330.157,-296.2011,2304.476,-167.2568,1,1
TR_ROOT61: 3741.459,-289.3243,2414.229,-159.2568,1,1
TR_S01: 3882.982,-236.6347,2651.774,-27.95069,2,0
TR_S02: 1058.775,-418.6114,704.2165,-186.3925,1,0
TR_S03: -202.679,-457.1114,-119.6689,-433.6195,2,0
TR_S04: -1518.615,-661.578,-968.2478,-595.6416,1,0
TR_S05: -3486.289,-848.556,-2313.399,-624.2508,0,0
TR_S06: 888.0091,-22.23694,789.6982,140.3691,1,0
TR_S07: -707.0942,2160.874,-395.4759,1657.476,1,0
TR_S08: 398.4778,1311.134,314.7907,1035.71,2,0
TR_S09: 2530.895,-597.7013,1889.781,-442.0207,1,0
OffScreenDen_TR: -4564.281,-683.9436,-3161.188,-350.8471,1,1
Connection: GATE_SB_TR,TR_ROOT01,45,9,9,62,0,2
Connection: GATE_TR_SH,TR_S01,2,9,23,17,2,0
Connection: GATE_TR_SH,TR_ROOT61,11,5,185,12,3,1
Connection: GATE_UW_TR,TR_ROOT45,36,5,118,43,3,1
Connection: TR_ROOT01,TR_ROOT02,142,48,11,14,0,2
Connection: TR_ROOT01,TR_ROOT04,118,17,4,70,0,2
Connection: TR_ROOT02,TR_ROOT03,221,3,4,78,0,2
Connection: TR_ROOT03,TR_ROOT07,41,90,4,17,0,2
Connection: TR_ROOT03,TR_ROOT06,38,21,34,29,3,2
Connection: TR_ROOT03,TR_ROOT05,9,13,142,16,3,0
Connection: TR_ROOT04,TR_ROOT05,44,24,6,25,0,2
Connection: TR_ROOT05,TR_S05,74,18,19,21,3,1
Connection: TR_ROOT06,TR_ROOT08,44,5,15,4,0,3
Connection: TR_ROOT07,TR_ROOT11,239,18,10,41,0,2
Connection: TR_ROOT07,TR_ROOT08,121,2,85,61,2,0
Connection: TR_ROOT08,TR_ROOT09,47,26,8,19,0,2
Connection: TR_ROOT09,TR_ROOT10,82,28,5,18,1,3
Connection: TR_ROOT09,TR_ROOT26,143,12,8,13,0,2
Connection: TR_ROOT10,TR_ROOT11,42,11,7,8,3,2
Connection: TR_ROOT11,TR_ROOT13,133,54,5,19,0,2
Connection: TR_ROOT11,TR_ROOT12,142,13,5,11,3,1
Connection: TR_ROOT12,TR_ROOT13,39,30,24,6,1,3
