DS_A01: -465.858,-23.06303,-497.1885,56.31544,1,1
DS_A02: -249.8578,89.93698,-333.1885,201.3157,1,1
DS_A05: 40.14231,-215.063,211.8115,-376.6841,1,1
DS_A06: -418.8578,88.93698,-487.1885,206.3157,1,1
DS_A07: 209.1421,-7.062967,107.8115,108.3158,1,1
DS_A08: 252.1421,192.9372,220.8115,345.3159,2,1
DS_A09: -242.8578,192.937,-327.1885,355.3159,2,1
DS_A10: -145.8579,-129.063,-210.1885,-211.6844,0,1
DS_A11: 708.1423,100.9369,605.8113,106.3158,1,1
DS_A13: -290.8579,-130.063,-339.1885,-209.6844,0,1
DS_A14: 18.14219,-152.063,25.81154,-117.6843,2,1
DS_A15: -532.8577,192.937,-604.1887,361.3159,2,1
DS_A16: 54.14217,-9.062987,-28.18831,110.3158,1,1
DS_A17: 477.142,-8.062977,280.8115,104.3157,1,1
DS_A19: -174.8578,299.937,-183.1886,497.3159,2,1
DS_A20: -182.8581,-2.063038,-331.1885,54.31557,1,1
DS_A21: 988.1409,52.93707,1115.812,-225.6844,2,1
DS_A22: -576.8583,89.93698,-618.1887,207.3157,1,1
DS_A23: -392.8578,190.937,-482.1885,361.3159,2,1
DS_A24: 564.1417,95.93698,478.8114,107.3158,1,1
DS_A25: 465.1422,-154.063,456.8115,-123.6844,2,1
DS_A26: -583.8583,-11.06291,-595.1887,-127.6844,0,1
DS_A27: -589.8583,-134.063,-607.1887,-266.6841,0,1
DS_A28: 203.7863,380.3295,407.3851,218.1821,1,1
DS_B01: 242.1421,-151.063,185.8117,-114.6843,2,1
DS_B02: -804.8583,92.93698,-846.1887,207.3157,1,1
DS_B03: -84.85781,25.93699,-169.1885,116.3157,1,1
DS_B04: 25.14215,194.9372,-33.18835,349.3159,2,1
DS_B06: -438.8578,-75.06296,-467.1885,-217.6844,0,1
DS_B07: 480.1422,195.9372,357.8115,340.3159,2,1
DS_B08: 570.1423,-93.06292,628.8113,-116.6844,2,1
DS_B10: 1347.013,-82.06068,1282.212,-252.9918,2,1
DS_C01: 835.1417,-48.06296,935.8113,-404.6841,2,1
DS_C02: -737.8583,-20.06291,-737.1887,-233.6844,0,1
DS_C03: 1131.14,-175.063,1090.812,-374.6841,2,1
DS_C04: 707.1417,72.93692,811.8113,-49.68449,2,1
DS_CG: -25.94291,294.9337,-31.5108,527.2654,1,1
DS_D01: 425.142,-234.3263,435.364,-369.1842,1,1
DS_D02: -883.8583,-182.063,-873.1887,-374.6841,0,1
DS_D03: -336.8579,-236.063,-229.1886,-367.6841,1,1
DS_LW01: -309.0998,-291.2809,-362.6149,-376.8179,2,1
DS_LW02: -213.0998,-187.2809,-92.61491,-260.8179,2,1
