FB_02: -77.22089,-782.1069,-12.4522,-742.8629,2,1
FB_03: 142.7791,-950.1069,10.5478,-879.8629,2,1
FB_04: 166.7794,-838.1069,130.5479,-740.8629,1,1
FB_05: 441.7786,-838.1069,285.548,-739.8629,1,1
FB_06: 714.7791,-768.1069,544.5485,-730.8629,1,1
FB_07: 910.7791,-708.1069,697.5485,-647.8629,1,1
FB_08: 253.7791,-696.1069,135.5479,-596.8629,1,1
FB_09: 522.7786,-699.1069,393.5478,-597.8629,1,1
FB_10: 684.7791,-561.1069,412.5478,-398.8634,1,1
FB_11: 1090.781,-430.1073,678.5485,-388.8634,1,1
FB_12: 995.7786,-645.1069,540.5482,-516.8633,2,1
FB_13: 1328.781,-375.1073,931.5482,-406.8634,2,1
FB_14: 976.7791,-77.10716,537.5482,-48.86269,2,1
FB_15: 772.7791,-448.1073,147.5479,-289.8634,2,1
FB_16: 938.1624,-265.9729,381.5478,-60.86277,2,1
FB_17: 888.7791,-253.1072,520.5482,-273.8634,1,1
FB_18: 720.7791,-318.1073,698.5482,-185.863,1,1
FB_19: 478.3756,-138.6646,71.54779,-181.863,1,1
FB_20: -83.22119,33.8928,9.547761,75.13718,0,1
FB_21: 418.7788,92.89301,395.5478,181.137,0,1
FB_22: -91.22129,-199.1072,20.54765,-53.86261,1,1
FB_23: 67.77881,-371.1073,-23.45225,-355.8634,1,1
FB_24: 338.7787,-326.1073,761.5485,71.13718,2,1
FB_25: -190.2211,-434.1073,-283.4522,-386.8634,1,1
FB_26: -266.2214,-325.1073,-121.4521,-146.8634,1,1
FB_27: -578.2209,-29.10692,-341.4522,-80.86282,1,1
FB_28: -272.2209,454.8927,-321.4522,303.1366,1,1
FB_29: -386.2214,689.8931,-448.4523,513.1364,1,1
FB_30: 62.77868,689.8931,-168.4523,507.1366,1,1
FB_31: -434.2212,39.89304,-168.4523,100.1371,0,1
FB_32: 266.7787,392.8927,596.5485,397.1366,1,1
FB_33: -88.22119,387.8927,190.5479,373.1366,1,1
FB_34: 81.77879,379.8927,343.5478,465.1366,2,1
FB_35: -73.22129,636.8931,-46.4519,377.1366,2,1
FB_36: -259.3715,893.012,-239.0287,716.8134,1,1
FB_37: -781.3116,1113.18,-796.3174,957.0576,1,1
FB_38: -671.5646,655.3358,-656.8207,380.4093,2,1
FB_39: -852.1407,823.4495,-667.3097,537.2069,1,1
FB_40: -660.8782,810.7468,-504.2354,720.5714,2,1
FB_41: -290.1449,1127.747,-228.3747,969.9337,1,1
FB_42: -1124.216,1232.281,-801.7336,1099.9,1,1
FB_43: -1234.861,1348.345,-939.5116,1240.537,1,1
FB_44: 400.9634,-97.88445,756.8961,373.4277,0,1
FB_45: 602.1093,-98.92628,913.2921,389.9902,0,1
FB_46: 1259.825,-635.0281,789.2509,-520.4377,2,1
FB_47: -435.6961,275.3519,-593.9894,237.6021,1,1
FB_48: -534.8135,-370.6676,-377.7931,-251.0646,1,1
FB_49: -391.7642,-101.2954,-149.6101,-18.05752,2,1
FB_50: -431.7886,-535.2776,-649.0042,-380.3488,1,1
FB_51: -775.6183,-425.7478,-525.0959,-258.5191,1,1
FB_52: -945.2427,-488.496,-682.2159,-242.9169,2,1
FB_53: -401.3376,999.5662,-311.4483,835.3347,2,1
FB_GS01: 46.82076,-633.937,77.91817,-486.6994,2,0
FB_S01: 766.7791,-469.107,275.548,-426.8634,1,0
FB_S02: -434.2212,769.8931,-468.4522,377.1366,0,0
FB_S03: -441.5233,-206.3507,-473.3695,-38.39087,2,0
GATE_CC_FB: -1479.03,1366.089,-1075.32,1252.451,1,0
GATE_SH_FB: -96.22105,-616.1069,-35.45224,-488.8634,2,0
OffScreenDen_FB: -1560.219,941.8931,-138.4523,-885.8629,1,1
Connection: FB_02,GATE_SH_FB,30,69,36,5,1,3
Connection: FB_02,FB_03,30,13,16,32,3,1
Connection: FB_03,FB_05,146,33,22,6,1,3
Connection: FB_03,FB_04,79,33,19,5,1,3
Connection: FB_04,FB_05,49,19,7,18,0,2
Connection: FB_05,FB_06,105,14,12,11,0,2
Connection: FB_06,FB_07,59,65,10,24,0,2
Connection: FB_06,FB_09,12,59,48,13,2,0
Connection: FB_08,FB_09,109,16,11,17,0,2
Connection: FB_09,FB_10,29,26,17,6,1,3
Connection: FB_10,FB_S01,85,27,23,14,1,3
Connection: FB_10,FB_15,25,29,7,11,1,2
Connection: FB_10,FB_11,111,19,11,14,0,2
Connection: FB_10,FB_12,105,4,12,26,3,1
Connection: FB_11,FB_17,11,57,55,12,2,0
Connection: FB_11,FB_13,101,58,13,68,0,2
Connection: FB_12,FB_46,108,23,4,22,0,2
Connection: FB_13,FB_14,26,115,204,9,1,3
Connection: FB_13,FB_46,22,11,47,30,3,1
Connection: FB_14,FB_21,16,27,145,14,1,3
Connection: FB_14,FB_16,86,7,24,73,3,1
Connection: FB_15,FB_16,134,27,25,8,1,3
Connection: FB_17,FB_19,6,64,204,17,2,0
Connection: FB_17,FB_18,14,16,41,16,2,0
Connection: FB_19,FB_20,4,11,151,14,2,0
Connection: FB_20,FB_33,99,106,29,8,1,3
Connection: FB_20,FB_21,159,55,14,17,0,2
Connection: FB_20,FB_31,5,54,56,12,2,0
Connection: FB_20,FB_49,12,23,56,20,2,0
Connection: FB_20,FB_22,41,8,20,26,3,1
Connection: FB_21,FB_32,31,64,29,7,1,3
Connection: FB_21,FB_44,77,9,34,23,3,1
Connection: FB_22,FB_23,100,7,21,73,3,1
Connection: FB_23,FB_24,55,14,6,13,0,2
Connection: FB_23,FB_25,7,11,107,12,2,0
Connection: FB_24,FB_44,28,106,24,2,1,3
Connection: FB_25,FB_26,49,32,52,5,1,3
Connection: FB_25,FB_48,4,15,101,12,2,0
Connection: FB_25,FB_50,38,4,145,30,3,1
Connection: FB_26,FB_48,4,27,95,60,2,0
Connection: FB_27,FB_47,27,143,10,8,1,3
Connection: FB_27,FB_31,57,104,13,22,0,2
Connection: FB_27,FB_48,35,5,43,68,3,1
