GATE_RW_SS: 952.9055,-1445.379,566.105,-1441.816,1,0
GATE_SS_DW: -43.41394,2063.113,-179.8363,1863.946,2,0
GATE_SS_UW: -757.6069,2143.25,-709.5853,2013.551,2,0
GATE_UW_SS: -313.3165,-1743.175,-193.7195,-1817.166,0,0
SS_A01: 1306.163,674.1394,1091.106,759.0948,0,2
SS_A03: -1711.837,79.13984,-1234.894,161.0948,0,1
SS_A04: -1119.837,-296.8603,-756.8936,-124.9053,0,1
SS_A08: -86.83688,-1639.862,51.10659,-1761.906,0,1
SS_A09: -246.8366,-1409.862,-124.8939,-1536.906,0,1
SS_A10: -234.8368,-1298.862,-118.8939,-1409.906,0,1
SS_A11: -622.8364,258.1397,-378.8935,248.0948,0,3
SS_A13: 980.1636,-381.8603,583.1064,-581.9052,1,4
SS_A14: 985.163,673.1394,808.1064,761.0948,0,2
SS_A15: -1680.837,-28.86015,-1221.894,-6.905367,0,1
SS_A16: -1718.837,186.1398,-1232.894,308.0948,0,3
SS_A17: 537.1636,315.1397,453.1067,374.0948,0,1
SS_A18: 839.1633,-1317.862,459.1065,-1298.906,1,4
SS_A19: -231.3843,-1639.03,-63.12679,-1763.426,0,1
SS_AI: 65.036,1448.632,321.9974,1364.85,1,0
SS_B01: -96.83678,-1471.862,47.10658,-1627.906,0,1
SS_B02: -1225.837,179.1395,-830.8936,365.0948,0,3
SS_B03: -445.8368,-677.86,-264.8933,-523.9052,0,1
SS_B04: 995.1633,-560.8606,591.1064,-788.9052,1,4
SS_B05: 341.1636,-1420.862,51.10658,-1413.906,1,0
SS_B06: -873.8364,-347.8603,-646.8936,-160.9052,0,1
SS_C02: -454.8368,-1414.862,-253.8933,-1315.906,0,1
SS_C03: -1716.837,410.1398,-1229.894,479.0948,0,3
SS_C04: 343.1632,-436.8603,222.1062,-213.9052,0,1
SS_C06: -1672.837,-263.8603,-1227.894,-318.9052,0,1
SS_C07: -1403.837,550.14,-894.8936,655.0948,0,3
SS_C08: 230.1632,274.1397,102.1064,359.0948,0,1
SS_D02: 570.1633,497.14,416.1065,554.0948,0,2
SS_D03: -637.8367,41.13963,-444.8935,-7.905348,0,3
SS_D04: -560.8367,-454.8603,-389.8933,-270.9052,0,1
SS_D05: 1230.163,-436.8603,744.1064,-667.9052,1,4
SS_D06: 658.1633,-1491.862,279.1065,-1502.906,1,4
SS_D07: -180.607,1584.251,-468.5855,1422.553,2,0
SS_D08: -523.2374,2205.035,-579.2161,2011.059,2,1
SS_DW1: -210.9529,2078.889,-315.2702,1873.933,2,1
SS_E01: -449.8368,-851.86,-467.8937,-703.9052,0,1
SS_E02: -1220.837,-33.86012,-1032.894,-11.90535,0,1
SS_E03: 533.1636,-56.86013,450.1065,-79.9053,0,1
SS_E04: 320.1632,-849.86,61.10661,-701.9052,0,0
SS_E05: 1304.348,-33.46045,1091.106,-93.90536,1,4
SS_E06: 22.16325,524.14,-130.8938,639.0948,0,1
SS_E07: 33.1633,861.14,81.10656,764.0948,0,5
SS_E08: -408.1641,1912.605,-463.6175,1574.679,2,1
SS_F01: -702.8364,-1258.862,-542.8936,-1210.906,0,1
SS_F02: -1005.836,-854.86,-795.8936,-786.9052,0,1
SS_F03: 989.1636,-1025.859,590.1064,-1303.906,1,4
SS_H01: -1355.837,-552.8601,-1130.894,-503.9053,0,1
SS_I02: -388.8364,-1095.858,-327.8935,-1002.905,0,1
SS_I03: -597.8364,541.14,-469.8935,563.0948,0,3
SS_L01: 24.16331,1371.138,-22.89347,1198.094,0,5
SS_LAB1: 983.1633,553.14,812.1064,632.0948,0,2
SS_LAB10: 983.1633,314.1397,808.1064,350.0948,0,4
SS_LAB11: 821.1633,312.1397,659.1064,350.0948,0,0
SS_LAB12: 1304.163,433.1396,1087.106,497.0948,0,0
SS_LAB13: 1146.163,674.1394,953.1064,760.0948,0,2
SS_LAB2: 1145.163,549.1394,949.1064,630.0948,0,2
SS_LAB3: 1147.163,432.1396,949.1064,497.0948,0,2
SS_LAB4: 1302.163,314.1397,1088.106,349.0948,0,4
SS_LAB5: 1145.163,313.1397,949.1064,350.0948,0,4
SS_LAB6: 1305.163,550.1394,1089.106,630.0948,0,2
SS_LAB7: 819.1633,432.1398,663.1064,500.0948,0,2
SS_LAB8: 819.1636,550.14,662.1064,640.0948,0,2
SS_LAB9: 985.1636,432.1398,810.1064,498.0948,0,2
SS_S01: 5.166885,-1612.088,158.8826,-1759.561,0,0
SS_S02: -1103.217,-611.3847,-706.7645,-470.992,1,0
SS_S03: 995.3746,-382.1277,577.1752,-456.6896,2,0
SS_S04: -604.2225,2033.381,-572.3771,1881.324,2,0
SS_S05: -1037.02,158.5374,-699.2344,451.2632,0,0
OffScreenDen_SS: -519.8364,477.14,-148.8938,315.0947,1,1
Connection: GATE_RW_SS,SS_F03,36,19,24,2,1,3
Connection: GATE_SS_DW,SS_DW1,2,9,45,4,2,0
Connection: GATE_SS_UW,SS_D08,45,9,5,10,0,2
Connection: GATE_UW_SS,SS_A19,36,19,9,7,1,3
Connection: SS_A01,SS_LAB13,2,31,43,31,2,0
Connection: SS_A01,SS_LAB6,25,2,29,31,3,1
Connection: SS_A03,SS_A16,2,31,5,4,1,3
Connection: SS_A03,SS_A15,46,3,36,32,3,1
Connection: SS_A04,SS_E02,2,31,139,1,1,3
Connection: SS_A04,SS_B06,45,5,5,22,0,2
Connection: SS_A08,SS_B01,38,30,41,5,1,3
Connection: SS_A08,SS_A19,3,13,39,13,2,0
Connection: SS_A08,SS_S01,40,13,14,11,0,2
Connection: SS_A09,SS_A10,18,31,14,2,1,3
Connection: SS_A09,SS_B01,43,19,3,61,0,2
Connection: SS_A10,SS_I02,23,27,126,13,1,3
Connection: SS_A10,SS_B05,44,20,4,22,0,2
Connection: SS_A11,SS_I03,23,32,67,5,1,3
Connection: SS_A11,SS_D03,23,2,56,73,3,1
Connection: SS_A13,SS_D05,40,32,4,72,1,2
Connection: SS_A13,SS_B04,40,4,35,74,3,1
Connection: SS_A14,SS_LAB13,43,31,9,31,0,2
Connection: SS_A14,SS_LAB1,26,2,27,31,3,1
Connection: SS_A15,SS_E02,44,18,5,19,0,2
Connection: SS_A15,SS_C06,24,3,21,113,3,1
Connection: SS_A16,SS_C03,41,31,40,10,1,0
Connection: SS_A17,SS_LAB7,45,31,9,31,0,2
Connection: SS_A17,SS_C08,2,18,148,31,2,0
Connection: SS_A17,SS_E03,42,2,44,184,3,1
Connection: SS_A18,SS_F03,43,21,3,20,0,2
Connection: SS_A18,SS_D06,10,4,97,74,3,1
Connection: SS_AI,SS_L01,20,33,88,127,1,3
Connection: SS_AI,SS_D07,28,33,188,5,1,3
Connection: SS_B02,SS_C03,3,74,45,17,2,0
Connection: SS_B02,SS_S05,45,70,16,27,0,2
Connection: SS_B02,SS_E02,23,5,125,32,3,1
Connection: SS_B03,SS_D04,22,74,88,9,1,3
Connection: SS_B03,SS_E01,22,7,126,32,3,1
Connection: SS_B04,SS_S03,21,74,21,11,1,3
Connection: SS_B04,SS_E04,3,65,251,19,2,0
Connection: SS_B04,SS_D05,44,51,2,10,0,2
Connection: SS_B04,SS_F03,21,6,24,225,3,1
Connection: SS_B05,SS_D06,96,28,6,73,0,2
Connection: SS_B06,SS_D04,98,15,4,72,0,2
Connection: SS_C02,SS_I02,44,110,74,12,1,3
Connection: SS_C02,SS_F01,2,19,44,20,2,0
Connection: SS_C03,SS_C07,45,108,4,18,0,2
Connection: SS_C04,SS_E03,140,31,25,2,1,3
Connection: SS_C04,SS_D04,2,29,101,56,2,0
Connection: SS_C06,SS_H01,19,8,7,68,3,2
Connection: SS_C07,SS_I03,147,17,2,63,0,2
Connection: SS_C08,SS_E06,4,30,123,3,1,3
Connection: SS_D02,SS_E06,3,74,248,31,2,0
Connection: SS_D02,SS_LAB8,101,46,4,6,0,2
Connection: SS_D03,SS_E02,7,12,251,16,2,0
Connection: SS_D03,SS_D04,94,5,90,75,3,1
Connection: SS_D05,SS_E05,93,70,38,3,1,3
Connection: SS_D07,SS_E08,13,32,11,9,1,3
Connection: SS_D08,SS_S04,38,8,35,26,3,1
Connection: SS_D08,SS_E08,80,43,12,185,3,1
Connection: SS_DW1,SS_E08,2,27,44,177,2,0
Connection: SS_E01,SS_F02,5,16,101,54,2,0
Connection: SS_E01,SS_E04,251,16,5,16,0,2
Connection: SS_E01,SS_I02,126,4,54,118,3,1
Connection: SS_E05,SS_LAB4,3,185,8,3,1,2
Connection: SS_E06,SS_E07,126,31,20,8,1,3
Connection: SS_E06,SS_I03,4,18,151,55,2,0
Connection: SS_E07,SS_L01,22,187,76,10,1,3
Connection: SS_F01,SS_F02,9,211,96,29,2,0
Connection: SS_F02,SS_S02,5,117,14,14,1,2
Connection: SS_F02,SS_H01,18,115,184,5,1,3
Connection: SS_LAB1,SS_LAB8,9,31,45,31,2,0
Connection: SS_LAB1,SS_LAB9,26,2,27,31,3,1
Connection: SS_LAB10,SS_LAB5,43,31,9,31,0,2
Connection: SS_LAB10,SS_LAB11,8,3,43,3,2,0
Connection: SS_LAB11,SS_LAB7,27,31,24,2,1,3
Connection: SS_LAB12,SS_LAB6,27,31,26,1,1,3
Connection: SS_LAB12,SS_LAB3,8,3,43,3,2,0
Connection: SS_LAB12,SS_LAB4,24,2,27,32,3,1
Connection: SS_LAB2,SS_LAB6,43,31,9,31,0,2
Connection: SS_LAB2,SS_LAB3,26,2,27,31,3,1
Connection: SS_LAB3,SS_LAB5,26,2,24,32,3,1
Connection: SS_LAB4,SS_LAB5,9,31,43,31,2,0
Connection: SS_LAB7,SS_LAB8,29,31,25,2,1,3
Connection: SS_LAB7,SS_LAB9,43,3,8,3,0,2
