GATE_AB_SL: -1694.331,178.1183,-1232.256,926.1217,2,0
GATE_FI_SL: -407.9122,604.9847,515.8221,328.2467,1,0
GATE_GW_SL: -2674.512,255.4985,-1899.137,226.3352,1,0
GATE_RW_SL: 646.068,-139.4077,376.672,329.0299,1,0
GATE_SB_SL: -1903.906,-230.1888,-1605.682,-753.2389,0,0
GATE_SH_SL: 303.4635,396.9509,522.41,1125.667,2,0
GATE_SL_AB: -1532.331,-546.8817,-1528.256,-566.8783,2,0
GATE_SL_DW: 2822.475,-13.4346,2115.951,-140.3985,0,0
GATE_SL_SW: 775.9141,77.77536,662.7729,153.9188,1,0
GATE_SL_US: 1026.685,477.7589,476.8221,-287.7533,1,0
GATE_UB_SL: 1136.685,477.7589,273.8221,-533.7533,1,0
SH_A20: 481.0679,-127.4077,249.672,335.0299,1,1
SL_A02: -72.3624,143.5623,185.9225,898.8594,2,1
SL_A03: -537.3623,-332.4377,-565.0767,-903.1406,0,1
SL_A04: -237.3622,-208.4377,-112.0767,-295.1409,1,1
SL_A05: 191.6376,-311.4377,275.9233,-400.1409,1,1
SL_A06: -1189.36,-337.4377,-1080.076,-892.1406,0,1
SL_A07: -113.3619,-281.4377,34.9231,-405.1409,1,1
SL_A08: -2585.362,143.5623,-1844.077,96.85942,1,0
SL_A10: -881.3619,-350.4377,-731.0767,-238.1408,2,1
SL_A11: -100.1404,-122.4377,27.47846,-204.7799,1,1
SL_A12: -301.1399,-91.4378,-161.5211,-167.7799,1,1
SL_A13: -200.6137,-90.4377,-71.70557,-41.43761,1,1
SL_A14: 113.5144,30.81873,388.8584,752.0237,2,1
SL_A15: 3166.028,242.2516,2363.063,79.64811,0,0
SL_A16: 2548.399,254.6904,1907.289,128.9266,0,2
SL_A17: -75.32309,30.24186,186.4294,752.3199,2,1
SL_AB01: -1363.331,-450.8817,-1390.256,-589.8783,2,1
SL_AB02: -1194.331,-302.8817,-1213.256,-371.8783,2,1
SL_AB03: -1375.331,164.1183,-1113.256,912.1217,2,1
SL_AI: 3392.16,161.6293,2480.907,27.67024,0,2
SL_B01: -457.362,224.5622,-227.0768,847.8594,2,1
SL_B02: 185.6382,146.5623,376.9223,901.8594,2,1
SL_B04: 27.63761,375.5621,243.9234,-20.14086,0,1
SL_C01: -256.3621,126.5623,-23.07693,800.8594,2,1
SL_C02: -1282.361,139.5623,-991.0767,521.8594,0,1
SL_C03: 28.28769,12.03722,61.92317,-17.14079,0,1
SL_C04: -739.3623,-240.4377,-575.0767,-445.1409,1,1
SL_C05: -1149.361,-348.4377,-932.0767,-431.1409,1,1
SL_C06: -866.3625,-334.4377,-936.0767,-895.1406,0,1
SL_C07: 1247.639,-232.4377,999.9232,-440.1409,1,1
SL_C08: -1479.361,-247.4374,-1085.076,-450.1409,1,1
SL_C09: 2388.638,140.5623,1690.923,13.85907,0,2
SL_C10: -1186.36,-253.4374,-865.0767,-262.1406,2,1
SL_C11: 466.7557,257.2057,665.0082,908.7741,2,1
SL_C12: -2275.911,137.0334,-1712.044,97.68502,1,0
SL_D01: -630.3623,71.56233,-546.0767,7.859098,1,1
SL_D02: -533.3623,-294.4373,-417.0767,-526.1414,1,1
SL_D03: -276.3621,-394.4377,-204.0769,-502.141,1,1
SL_D04: -284.3623,76.56255,-217.0767,451.8591,0,1
SL_D05: -1573.361,-339.4377,-1542.077,-887.1406,0,1
SL_D06: -918.3619,138.5623,-768.0767,908.8594,2,1
SL_DW1: 2387.475,-16.4346,1738.951,-133.3985,0,1
SL_DW2: 2636.475,-25.4346,1975.951,-139.3985,0,1
SL_E01: 23.63771,-217.4373,152.9233,-507.141,1,1
SL_E02: 712.6359,-330.4377,421.9231,-401.1409,1,1
SL_E03: 692.4807,4.295475,413.1435,-131.5729,2,1
SL_F01: -1729.361,75.56272,-1394.077,15.8591,1,1
SL_F02: -704.3623,73.56233,-580.0767,447.8591,0,1
SL_H02: 489.6376,96.56266,116.9233,465.8591,0,1
SL_H03: 1490.639,136.5623,749.9222,4.85915,0,1
SL_I01: 2862.638,235.5623,2022.925,-7.140843,0,2
SL_N01: 806.6847,227.7589,312.8221,-268.7533,1,1
SL_N04: -243.9122,579.9847,651.8221,324.2467,1,1
SL_N05: -269.9122,268.9847,414.8221,-46.75328,1,1
SL_S02: 372.026,308.2518,525.0635,1022.647,2,0
SL_S03: -297.2864,-131.7901,-277.4575,-238.7268,2,0
SL_S04: -833.2864,-263.79,-799.4578,-783.727,0,0
SL_S05: -709.2864,108.21,-469.4575,303.2731,0,0
SL_S06: 3163.088,348.0336,2364.955,204.6849,0,0
SL_S07: -2702.404,143.5617,-1871.833,-31.83778,1,0
SL_S08: 1013.726,-219.5461,833.1061,-275.5824,1,0
SL_S09: -867.187,-348.4211,-635.2335,-567.8148,1,0
SL_S10: 2433.134,254.1716,1790.571,142.7059,0,0
SL_S11: 816.1854,-83.20771,702.5353,-261.7253,2,0
SL_W01: 1055.915,0.7753541,798.7729,121.9188,1,1
OffScreenDen_SL: -1199.36,-89.4377,-1454.077,-125.1408,1,1
Connection: GATE_AB_SL,SL_AB03,45,9,2,16,0,2
Connection: GATE_FI_SL,SL_N04,36,5,5,8,3,2
Connection: GATE_GW_SL,SL_A08,36,5,9,32,3,1
Connection: GATE_RW_SL,SH_A20,2,9,43,5,2,0
Connection: GATE_SB_SL,SL_D05,36,5,5,31,3,2
Connection: GATE_SH_SL,SL_C11,45,11,5,100,0,2
Connection: GATE_SH_SL,SL_S02,36,5,42,23,3,1
Connection: GATE_SL_AB,SL_AB01,45,9,13,20,0,2
Connection: GATE_SL_DW,SL_DW2,2,15,39,19,2,3
Connection: GATE_SL_SW,SL_W01,45,9,1,32,0,2
Connection: GATE_SL_US,SL_N01,11,19,58,9,1,0
Connection: GATE_UB_SL,SL_E01,45,12,45,35,0,3
Connection: SH_A20,SL_H02,22,32,78,11,1,3
Connection: SL_A02,SL_C01,10,28,40,76,3,0
Connection: SL_A02,SL_B02,35,28,12,30,3,3
Connection: SL_A02,SL_A17,7,10,8,27,3,1
Connection: SL_A03,SL_C06,3,30,141,27,2,0
Connection: SL_A03,SL_D03,44,27,8,72,0,2
Connection: SL_A04,SL_S03,4,29,23,12,2,3
Connection: SL_A04,SL_A12,21,31,27,3,1,3
Connection: SL_A04,SL_A13,28,31,16,2,1,3
Connection: SL_A04,SL_A11,35,31,4,5,1,3
Connection: SL_A04,SL_N05,45,16,7,18,0,3
Connection: SL_A04,SL_D03,9,10,51,72,0,0
Connection: SL_A05,SL_N01,21,30,2,18,0,2
Connection: SL_A05,SL_E02,42,29,7,30,0,2
Connection: SL_A05,SL_E01,4,13,45,66,2,0
Connection: SL_A06,SL_D05,2,17,201,16,2,0
Connection: SL_A06,SL_C06,45,17,2,15,0,2
Connection: SL_A07,SL_E01,39,23,4,86,0,2
Connection: SL_A07,SL_D03,11,18,92,70,2,0
Connection: SL_A08,SL_S07,4,18,29,18,2,0
Connection: SL_A08,SL_C12,47,15,2,17,0,2
Connection: SL_A10,SL_C10,3,18,49,30,2,0
Connection: SL_A10,SL_D02,44,18,4,63,0,2
Connection: SL_A11,SL_C03,31,32,16,23,1,3
Connection: SL_A12,SL_D04,10,31,34,63,1,3
Connection: SL_A13,SL_C01,16,33,24,21,1,3
Connection: SL_A14,SL_B02,23,33,31,13,1,3
Connection: SL_A14,SL_A17,2,4,44,4,2,0
Connection: SL_A14,SL_E03,40,4,5,4,0,2
Connection: SL_A15,SL_S06,43,32,27,9,1,3
Connection: SL_A15,SL_I01,3,21,144,66,2,0
Connection: SL_A15,SL_AI,44,3,2,30,0,1
Connection: SL_A16,SL_S10,4,26,31,20,2,0
Connection: SL_A16,SL_I01,43,13,4,62,0,2
Connection: SL_A16,SL_C09,43,3,151,32,3,1
Connection: SL_AB01,SL_AB02,38,108,6,17,0,2
Connection: SL_AB02,SL_C10,40,12,5,32,0,2
Connection: SL_AB03,SL_D06,145,13,10,14,3,3
Connection: SL_B01,SL_C01,42,16,9,53,3,3
Connection: SL_B01,SL_D06,3,29,194,14,3,3
Connection: SL_B02,SL_C11,104,32,5,39,3,2
Connection: SL_B04,SL_E01,23,98,21,204,3,1
Connection: SL_B04,SL_C03,33,62,42,114,3,3
Connection: SL_C02,SL_F01,14,9,171,22,3,3
Connection: SL_C02,SL_D06,55,18,24,22,3,3
Connection: SL_C02,SL_C10,102,15,30,112,3,1
Connection: SL_C02,SL_F02,164,7,3,57,3,3
Connection: SL_C03,SL_E01,23,100,11,165,3,2
Connection: SL_C04,SL_D01,26,112,12,58,1,3
Connection: SL_C04,SL_C05,4,28,159,20,2,0
Connection: SL_C05,SL_C08,6,31,42,42,2,0
Connection: SL_C05,SL_S09,155,31,7,24,0,2
Connection: SL_C06,SL_S04,92,30,24,13,0,3
Connection: SL_C07,SL_H03,20,112,143,31,1,3
Connection: SL_C07,SL_E02,1,28,248,18,2,0
Connection: SL_C08,SL_F01,27,112,189,62,1,3
Connection: SL_C09,SL_H03,4,17,425,23,2,0
Connection: SL_C09,SL_DW1,78,12,16,29,3,1
Connection: SL_C12,SL_F01,143,17,6,58,0,2
Connection: SL_D01,SL_D02,82,63,23,145,3,1
Connection: SL_D02,SL_D03,49,63,2,60,0,2
Connection: SL_D04,SL_F02,24,62,127,49,3,3
Connection: SL_D04,SL_H02,70,61,31,66,3,3
Connection: SL_D06,SL_F02,113,31,62,64,3,3
Connection: SL_DW1,SL_DW2,94,26,2,29,0,2
Connection: SL_E02,SL_S08,240,32,35,10,1,3
Connection: SL_E03,SL_H03,230,30,57,8,1,3
Connection: SL_E03,SL_S11,173,9,22,23,3,1
Connection: SL_F02,SL_S05,64,64,9,19,3,2
Connection: SL_H02,SL_H03,180,51,38,11,3,3
Connection: SL_H03,SL_W01,148,16,122,14,3,0
Connection: SL_N04,SL_N05,28,3,47,137,3,1
