GATE_SS_UW: -747.1555,2180.557,-708.9044,2046.453,2,0
GATE_UW_SS: -302.8649,-1705.867,-193.0387,-1784.264,0,0
SS_A01: 1316.615,711.447,1091.787,791.997,0,2
SS_A03: -1701.385,116.4474,-1234.213,193.9969,0,1
SS_A04: -1109.385,-259.5526,-758.2129,-93.00312,0,1
SS_A08: -76.38538,-1602.554,51.78737,-1729.004,0,1
SS_A09: -236.385,-1372.554,-124.2131,-1504.004,0,1
SS_A10: -224.3852,-1261.554,-118.2131,-1377.004,0,1
SS_A11: -612.3848,295.4474,-378.2127,280.9969,0,3
SS_A13: 990.6152,-344.5526,583.7871,-549.003,1,4
SS_A14: 995.6144,710.447,808.7871,793.997,0,2
SS_A15: -1670.385,8.447394,-1221.213,25.99679,0,1
SS_A16: -1708.385,223.4474,-1232.213,340.997,0,3
SS_A17: 547.6152,352.4474,453.7875,406.997,0,1
SS_A18: 849.6147,-1280.554,459.7873,-1266.004,1,4
SS_A19: -220.9327,-1601.722,-62.446,-1730.524,0,1
SS_AI: 75.48753,1485.94,322.6782,1397.752,1,0
SS_B01: -86.38523,-1434.554,47.78737,-1595.004,0,1
SS_B02: -1215.385,216.4471,-830.2129,397.997,0,3
SS_B03: -435.3852,-640.5526,-264.2125,-491.0031,0,1
SS_B04: 1005.615,-523.553,591.7871,-756.003,1,4
SS_B05: 351.6152,-1383.554,51.78736,-1381.004,1,0
SS_B06: -863.3848,-310.5526,-629.2129,-127.0031,0,1
SS_C02: -444.3852,-1377.554,-253.2125,-1283.004,0,1
SS_C03: -1706.385,447.4475,-1229.213,511.997,0,3
SS_C04: 353.6148,-399.5526,222.7869,-181.0031,0,1
SS_C06: -1662.385,-226.5527,-1227.213,-286.003,0,1
SS_C07: -1393.385,587.4474,-894.2129,687.997,0,3
SS_C08: 240.6148,311.4474,102.7872,391.997,0,1
SS_D02: 580.6147,534.4474,416.7873,586.997,0,2
SS_D03: -627.3853,78.44714,-444.2127,24.99681,0,3
SS_D04: -550.3853,-417.5526,-389.2125,-238.003,0,1
SS_D05: 1240.615,-399.5526,744.7871,-635.003,1,4
SS_D06: 668.6147,-1454.554,279.7873,-1470.004,1,4
SS_D07: -170.1554,1621.559,-467.9047,1455.455,2,0
SS_D08: -512.7858,2242.343,-578.5352,2043.961,2,1
SS_E01: -439.3852,-814.5526,-467.213,-671.003,0,1
SS_E02: -1210.385,3.447427,-1032.213,20.99681,0,1
SS_E03: 543.6152,-19.55258,450.7873,-47.00315,0,1
SS_E04: 330.6148,-812.5526,61.78739,-669.003,0,0
SS_E05: 1314.799,3.847097,1091.787,-61.00322,1,4
SS_E06: 32.61479,561.4474,-130.2131,671.997,0,1
SS_E07: 43.61483,898.4474,81.78734,796.997,0,5
SS_E08: -397.7125,1949.913,-462.9367,1607.581,2,1
SS_F01: -692.3848,-1221.554,-542.2129,-1178.004,0,1
SS_F02: -995.3849,-817.5526,-795.2129,-754.003,0,1
SS_F03: 999.6152,-988.5515,590.7871,-1271.004,1,4
SS_H01: -1345.385,-515.5526,-1130.213,-471.0031,0,1
SS_I02: -378.3848,-1058.55,-327.2127,-970.003,0,1
SS_I03: -587.3848,578.4474,-469.2127,595.997,0,3
SS_L01: 34.61484,1408.446,-22.2127,1230.996,0,5
SS_LAB1: 993.6147,590.4474,812.7871,664.997,0,2
SS_LAB10: 993.6147,351.4474,808.7871,382.997,0,4
SS_LAB11: 831.6147,349.4474,659.7871,382.997,0,0
SS_LAB12: 1314.615,470.4472,1087.787,529.997,0,0
SS_LAB13: 1156.615,711.447,953.7871,792.997,0,2
SS_LAB2: 1155.615,586.447,949.7871,662.997,0,2
SS_LAB3: 1157.615,469.4472,949.7871,529.997,0,2
SS_LAB4: 1312.615,351.4474,1088.787,381.997,0,4
SS_LAB5: 1155.615,350.4474,949.7871,382.997,0,4
SS_LAB6: 1315.615,587.447,1089.787,662.997,0,2
SS_LAB7: 829.6147,469.4475,663.7871,532.997,0,2
SS_LAB8: 829.6152,587.4474,662.7871,672.997,0,2
SS_LAB9: 995.6152,469.4475,810.7871,530.997,0,2
SS_S01: 15.61842,-1574.78,159.5633,-1726.659,0,0
SS_S02: -1092.765,-574.077,-691.0836,-451.0898,1,0
SS_S03: 1005.826,-344.82,577.8561,-423.7874,2,0
SS_S04: -593.7711,2070.688,-586.696,1920.226,2,0
SS_S05: -1059.643,280.9287,-690.2143,484.0862,0,0
OffScreenDen_SS: -509.3848,514.4474,-148.2131,347.9969,1,1
Connection: GATE_SS_UW,SS_D08,45,9,5,10,0,2
Connection: GATE_UW_SS,SS_A19,36,19,9,7,1,3
Connection: SS_A01,SS_LAB13,2,31,43,31,2,0
Connection: SS_A01,SS_LAB6,25,2,29,31,3,1
Connection: SS_A03,SS_A16,2,31,5,4,1,3
Connection: SS_A03,SS_A15,46,3,36,32,3,1
Connection: SS_A04,SS_E02,2,31,139,1,1,3
Connection: SS_A04,SS_B06,45,5,5,22,0,2
Connection: SS_A08,SS_B01,38,30,41,5,1,3
Connection: SS_A08,SS_A19,3,13,39,13,2,0
Connection: SS_A08,SS_S01,40,13,24,12,0,3
Connection: SS_A09,SS_A10,18,31,14,2,1,3
Connection: SS_A09,SS_B01,43,19,3,61,0,2
Connection: SS_A10,SS_I02,23,27,126,13,1,3
Connection: SS_A10,SS_B05,44,20,4,22,0,2
