GATE_AB_LF: -667.8353,-154.8625,-577.0815,-64.09309,1,0
GATE_LF_BL: 2505.792,174.5185,2161.969,131.795,1,0
GATE_LF_HW: 132.0878,464.9259,1706.784,-20.11238,1,0
GATE_LF_SB: -2731.903,225.228,-2190.739,338.1334,1,0
GATE_LF_SU: 1158.099,-573.7725,1039.261,-458.8666,1,0
GATE_SI_LF: 857.0958,1091.228,672.2608,1053.133,1,0
GATE_UB_LF: 572.0878,464.9259,-1867.216,197.8876,1,0
LF_A01: -970.004,-355.3058,-704.9263,-233.5655,0,1
LF_A02: -204.0042,-471.3058,-87.92599,-287.5657,0,1
LF_A03: -83.00403,238.6942,-195.9259,289.4344,1,1
LF_A04: 744.996,245.6942,620.0743,307.4344,1,1
LF_A05: -1374.002,241.6948,-1129.926,186.4345,1,1
LF_A06: 1133.998,235.6942,878.0729,303.4344,1,1
LF_A07: 992.9978,732.6938,786.0737,750.4346,1,1
LF_A10: -615.0044,182.6944,-307.9261,159.4345,0,1
LF_A11: 462.996,-707.3054,494.0743,-628.5654,1,1
LF_A12: 281.9959,-690.3054,301.0743,-611.5654,1,1
LF_A13: 338.9962,-576.3054,365.0743,-479.5656,1,1
LF_A14: 1011.998,-591.3054,922.0729,-469.5656,1,0
LF_A15: -814.4894,265.4486,-727.638,280.1822,1,1
LF_A17: 640.2294,-64.56155,912.715,-95.67174,2,1
LF_B01: 148.9959,-382.3052,29.07401,-602.5654,1,1
LF_B02: 820.9977,-13.30565,1040.073,-123.5658,2,1
LF_B03: 499.996,-474.3058,405.0743,-296.5656,0,1
LF_B04: -1937.002,-348.3058,-1612.927,-209.5655,1,1
LF_B05: 569.996,-539.3058,501.1742,-501.0405,1,1
LF_BL1: 2351.792,168.5185,2035.969,128.795,1,1
LF_BL2: 2126.792,112.5185,1800.969,75.79506,1,1
LF_BL3: 1620.792,173.5185,1367.969,154.795,1,1
LF_C_AB: -811.8353,-25.86248,-698.0815,-13.09313,1,1
LF_C01: 892.9978,-475.3058,668.0743,-295.5656,0,1
LF_C02: 124.9956,-471.3059,34.07391,-291.5656,0,1
LF_C03: -2423.001,222.6942,-2064.927,330.4344,1,1
LF_C05: 993.4857,956.4504,788.0275,875.9351,1,1
LF_D01: 411.996,50.6943,382.0746,-43.56578,2,1
LF_D02: -880.004,117.6944,-570.9261,69.43413,2,1
LF_D03: 1345.998,256.6942,1118.073,134.4345,1,1
