GATE_DS_SB: -1063.01,-325.4908,-1022.672,-350.1979,0,0
GATE_SU_DS: -1040.009,198.1245,-910.9536,376.6995,1,0
GATE_DS_GW: 1560.99,-53.49066,1522.329,-230.1981,2,0
DS_S03: -989.6764,-407.0109,-975.2764,-463.3977,0,0
DS_B02: -818.5887,104.2368,-847.5737,218.1336,1,1
DS_A22: -590.5887,101.2368,-619.5737,218.1336,1,1
DS_A06: -432.5882,100.2368,-488.5736,217.1336,1,1
DS_A02: -263.5883,101.2368,-334.5736,212.1336,1,1
DS_A01: -479.5884,-11.76321,-498.5736,67.13335,1,1
DS_A20: -196.5885,9.236779,-332.5736,65.13347,1,1
DS_S01r: -294.8387,9.826417,-332.6718,-70.49081,1,0
DS_B03: -98.58823,37.23681,-170.5736,127.1336,1,1
DS_A15: -546.5882,204.2368,-605.5737,372.1338,2,1
DS_A23: -406.5882,202.2368,-483.5736,372.1338,2,1
DS_A09: -256.5882,204.2368,-328.5736,366.1338,2,1
DS_A19: -188.5882,311.2368,-184.5737,508.1338,2,1
DS_B04: 11.41172,206.237,-34.57342,360.1338,2,1
DS_A08: 238.4117,204.237,219.4264,356.1338,2,1
DS_S04: 335.4619,105.2396,293.3323,228.671,2,0
DS_B07: 466.4118,207.237,356.4264,351.1338,2,1
DS_A16: 40.41175,2.236824,-29.57339,121.1337,1,1
DS_A07: 195.4117,4.23685,106.4264,119.1337,1,1
DS_A17: 463.4116,3.23684,279.4264,115.1336,1,1
DS_A24: 550.4113,107.2368,477.4263,118.1337,1,1
DS_A11: 694.4118,112.2367,604.4263,117.1337,1,1
DS_C04: 693.4113,84.23674,810.4263,-38.86658,2,1
DS_A14: 4.411758,-140.7632,24.42647,-106.8664,2,1
DS_B01: 228.4117,-139.7632,184.4266,-103.8664,2,1
DS_A25: 451.4118,-142.7632,455.4264,-112.8665,2,1
DS_B08: 556.4118,-81.7631,627.4263,-105.8665,2,1
DS_C01: 821.4113,-36.76314,934.4263,-393.8662,2,1
DS_S02l: 918.161,-69.17361,1097.329,-71.49081,2,0
DS_A21: 974.4106,64.23688,1114.428,-214.8665,2,1
DS_C03: 1117.41,-163.7632,1089.428,-363.8662,2,1
DS_B10: 1333.283,-70.76087,1280.826,-242.1739,2,1
DS_D01: 411.4116,-223.0265,433.9789,-358.3663,1,1
DS_A05: 26.41188,-203.7632,210.4264,-365.8662,1,1
DS_D03: -350.5883,-224.7632,-230.5737,-356.8662,1,1
DS_A27: -603.5887,-122.7632,-608.5737,-255.8662,0,1
DS_C02: -751.5887,-8.763099,-738.5737,-222.8665,0,1
DS_D02: -897.5887,-170.7632,-874.5737,-363.8662,0,1
DS_A26: -597.5887,0.2368999,-596.5737,-116.8665,0,1
DS_B06: -452.5882,-63.76315,-468.5736,-206.8665,0,1
DS_A13: -304.5883,-118.7632,-340.5736,-198.8665,0,1
DS_A10: -159.5883,-117.7632,-211.5736,-200.8665,0,1
OffScreenDen_DS: -309.5883,213.2368,147.4266,509.1338,1,1
Connection: GATE_DS_SB,DS_D02,45,9,3,16,0,2
Connection: GATE_DS_SB,DS_S03,36,5,19,18,3,2
Connection: GATE_SU_DS,DS_B02,36,5,4,23,3,2
Connection: GATE_DS_GW,DS_B10,2,11,97,17,2,0
Connection: DS_B02,DS_A22,96,21,4,21,0,2
Connection: DS_A22,DS_A15,24,28,10,6,1,3
Connection: DS_A22,DS_A06,43,21,4,21,0,2
Connection: DS_A06,DS_A02,49,21,5,21,0,2
Connection: DS_A06,DS_A01,33,12,48,32,3,1
Connection: DS_A02,DS_B03,48,21,5,62,0,2
Connection: DS_A20,DS_S01r,7,18,29,18,2,0
Connection: DS_A20,DS_B03,33,3,17,14,3,3
Connection: DS_B03,DS_A16,48,60,5,32,0,1
Connection: DS_B03,DS_A14,36,5,11,32,3,1
Connection: DS_B03,DS_A10,26,8,43,31,3,1
Connection: DS_A15,DS_A23,44,19,2,20,0,2
Connection: DS_A23,DS_A09,45,29,4,30,0,2
Connection: DS_A09,DS_A19,34,35,11,4,1,3
Connection: DS_A19,DS_B04,50,15,9,28,0,1
Connection: DS_B04,DS_A08,104,14,5,16,0,2
Connection: DS_A08,DS_B07,41,34,4,31,0,2
Connection: DS_A08,DS_S04,45,6,15,23,3,2
Connection: DS_B07,DS_C04,104,31,2,113,0,2
Connection: DS_B07,DS_A24,90,5,31,32,3,1
Connection: DS_A16,DS_A07,41,24,4,25,3,2
Connection: DS_A07,DS_A17,31,3,16,3,3,3
Connection: DS_A17,DS_A24,33,32,4,2,1,3
Connection: DS_A24,DS_A11,45,15,4,13,0,2
Connection: DS_C04,DS_C01,45,17,13,57,0,3
Connection: DS_C04,DS_B08,2,11,45,45,2,0
Connection: DS_A14,DS_B01,48,32,13,29,0,1
Connection: DS_B01,DS_A25,96,23,4,25,0,2
Connection: DS_B01,DS_D01,53,2,64,18,3,1
Connection: DS_A25,DS_B08,43,3,16,5,3,3
Connection: DS_C01,DS_A21,49,101,4,24,0,2
Connection: DS_C01,DS_S02l,40,57,18,18,3,2
Connection: DS_C01,DS_D01,5,24,197,12,2,0
Connection: DS_C01,DS_C03,42,15,4,12,3,2
Connection: DS_C03,DS_B10,141,25,45,9,0,3
Connection: DS_D01,DS_A05,3,6,48,8,2,0
Connection: DS_A05,DS_D03,5,8,197,7,2,0
Connection: DS_D03,DS_A27,34,20,42,3,1,3
Connection: DS_A27,DS_C02,2,10,49,14,2,0
Connection: DS_C02,DS_A26,48,59,2,13,0,2
Connection: DS_C02,DS_D02,4,52,44,122,2,0
Connection: DS_A26,DS_B06,42,31,2,74,0,2
Connection: DS_B06,DS_A13,45,36,2,32,0,2
Connection: DS_A13,DS_A10,45,32,2,32,0,2
