GATE_DS_GW: -1701.471,-365.0652,-1324.72,-859.9944,0,0
GATE_GW_SL: 2370.529,127.9348,2011.28,201.0054,1,0
GATE_HI_GW: -2150.47,184.9346,-1605.72,152.0054,1,0
GW_A01: -1538.587,95.40076,-1196.23,135.841,1,1
GW_A04: -124.587,28.40064,125.7697,-481.1589,0,1
GW_A05: -1387.587,-11.59935,-1078.23,-139.1589,2,1
GW_A06: -951.5867,-39.59937,-820.23,-137.1589,2,1
GW_A07: -690.5872,-38.59937,-621.23,-135.1589,2,1
GW_A08: -1165.587,-36.59937,-955.23,-138.1591,2,1
GW_A10: -514.5869,-47.59934,-461.2303,-136.1589,2,1
GW_A11: 551.4133,154.4004,590.77,291.8411,1,1
GW_A12: -872.5867,165.4004,-604.23,299.8411,1,1
GW_A13: 548.4133,55.40063,610.77,61.84119,1,1
GW_A14: -86.58706,-127.5993,59.76973,-113.1589,1,1
GW_A19: 550.4133,86.40063,247.7698,629.8408,2,1
GW_A20: 994.4235,56.00932,647.786,598.9379,2,1
GW_A21: 1145.19,56.17953,766.5731,599.491,2,1
GW_A22: 833.8232,-9.178042,892.5786,77.71748,1,1
GW_A23: 1002.683,-5.318121,1022.679,75.91737,1,1
GW_A24: 1804.302,170.717,1247.208,740.2642,2,1
GW_B01: -1784.587,101.4006,-1455.23,135.841,1,1
GW_B02: 701.4133,146.4004,396.7697,649.8408,2,1
GW_B03: -106.5871,20.40063,54.76973,44.84113,1,1
GW_B04: -896.5867,35.40063,-620.23,60.84135,1,1
GW_B05: 841.4128,-3.599353,533.77,514.8408,2,1
GW_B06: 674.4133,-67.59935,763.7711,-8.158705,1,1
GW_B07: 10.41335,54.40074,271.7692,-495.1589,0,1
GW_B08: 2127.414,126.4006,1748.771,182.8411,1,0
GW_B09: -1472.587,-386.5992,-1208.23,-940.1592,0,1
GW_C01: -1226.587,109.4005,-1060.23,147.841,1,1
GW_C02: 216.4128,80.40057,210.7693,136.841,1,1
GW_C03: 1022.413,177.4004,573.77,738.8408,2,1
GW_C04: 1708.413,125.4006,1406.771,200.841,1,1
GW_C05: 1489.413,172.4004,923.7697,740.8408,2,1
GW_C06: -343.587,73.40057,-343.2305,571.8408,2,1
GW_C07: -854.5867,-155.5996,-673.2303,-819.1592,0,1
GW_C08: 355.4135,-188.5996,254.7698,-711.1592,0,1
GW_C09: 663.4133,-385.5992,552.77,-1049.158,0,1
GW_C10: -468.5872,-386.5992,-420.2305,-943.1592,0,1
GW_C11: 1316.252,-4.341283,1149.843,77.57457,1,1
GW_D01: -492.587,71.40057,-412.2306,140.841,1,1
GW_D02: -1004.586,-395.5992,-938.23,-946.1592,0,1
GW_E01: 177.4128,-383.5992,-24.23033,-937.1592,0,1
GW_E02: 172.4128,189.4004,-190.2304,750.8408,2,1
GW_S01: -938.5867,34.40067,-809.23,-2.158761,2,0
GW_S02: -168.1274,59.69798,-188.8519,622.0847,2,0
GW_S03: -2015.055,182.1052,-1463.72,284.0056,1,0
GW_S04: 2306.945,17.10551,1970.28,80.00549,1,0
GW_S05: -1564.591,-389.0341,-1205.627,-846.9711,1,0
GW_S06: -130.1355,-79.69308,131.6907,-610.9485,0,0
GW_S07: 711.5757,18.61807,402.0463,560.8289,2,0
GW_S08: 551.8403,58.50541,606.1881,176.9566,0,0
OffScreenDen_GW: -196.5869,472.4008,-495.2303,-234.159,1,1
Connection: GATE_DS_GW,GW_S05,45,13,16,21,0,2
Connection: GATE_DS_GW,GW_B09,36,5,3,12,3,2
Connection: GATE_GW_SL,GW_B08,2,9,105,9,2,0
Connection: GATE_GW_SL,GW_S04,11,5,32,24,3,1
Connection: GATE_HI_GW,GW_S03,45,11,15,12,0,2
Connection: GATE_HI_GW,GW_B01,36,5,5,12,3,2
Connection: GW_A01,GW_C01,49,23,3,19,0,2
Connection: GW_A01,GW_B01,6,19,104,16,2,0
Connection: GW_A01,GW_A05,46,8,10,27,0,1
Connection: GW_A04,GW_B07,46,23,4,47,0,3
Connection: GW_A04,GW_S06,38,18,38,24,3,1
Connection: GW_A04,GW_C08,33,4,5,27,3,1
Connection: GW_A05,GW_A08,48,8,5,11,0,2
Connection: GW_A06,GW_S01,32,29,24,11,2,3
Connection: GW_A06,GW_A07,46,29,5,26,0,2
Connection: GW_A06,GW_A08,5,10,49,10,2,0
Connection: GW_A07,GW_A10,49,22,2,25,0,2
Connection: GW_A10,GW_D01,24,31,93,5,1,3
Connection: GW_A10,GW_C06,44,24,3,24,0,2
Connection: GW_A11,GW_A19,17,14,7,32,3,1
Connection: GW_A11,GW_A13,37,5,22,24,2,1
Connection: GW_A11,GW_S08,57,2,38,24,3,0
Connection: GW_A12,GW_B04,4,3,19,67,3,2
Connection: GW_A12,GW_C07,40,2,35,115,3,1
Connection: GW_A13,GW_C02,9,16,149,16,2,0
Connection: GW_A13,GW_B06,38,4,3,66,3,2
Connection: GW_A14,GW_B03,21,27,31,2,1,3
Connection: GW_A19,GW_B02,45,12,4,14,0,2
Connection: GW_A20,GW_C03,43,32,89,13,1,3
Connection: GW_A20,GW_B05,4,23,45,64,2,0
Connection: GW_A20,GW_A21,27,16,13,16,3,2
Connection: GW_A22,GW_B06,7,23,46,62,3,0
Connection: GW_A22,GW_A23,49,20,4,20,0,2
Connection: GW_A23,GW_C11,50,20,4,19,0,2
Connection: GW_A24,GW_C05,3,30,146,30,2,0
Connection: GW_B02,GW_C03,49,59,8,27,0,2
Connection: GW_B02,GW_E02,4,55,258,21,2,0
Connection: GW_B02,GW_B05,49,25,10,63,0,2
Connection: GW_B03,GW_D01,4,57,197,17,2,0
Connection: GW_B03,GW_C02,48,56,5,20,0,2
Connection: GW_B03,GW_B07,48,25,21,11,0,2
Connection: GW_B04,GW_C01,4,56,151,16,2,0
Connection: GW_B04,GW_D01,49,54,10,14,0,2
Connection: GW_B05,GW_S07,4,44,36,5,2,0
Connection: GW_B05,GW_C09,8,14,48,113,2,0
Connection: GW_B06,GW_C08,5,9,142,30,2,0
Connection: GW_B08,GW_C04,4,28,149,27,2,0
Connection: GW_B09,GW_D02,98,15,2,17,0,2
Connection: GW_C03,GW_C05,151,17,4,18,0,2
Connection: GW_C04,GW_C11,10,6,137,31,3,1
Connection: GW_C06,GW_E02,43,108,4,28,0,2
Connection: GW_C06,GW_S02,45,58,18,18,0,2
Connection: GW_C07,GW_D02,7,7,136,32,3,1
Connection: GW_C08,GW_C09,133,8,8,114,3,1
Connection: GW_C09,GW_E01,4,56,261,18,2,0
Connection: GW_C10,GW_D02,5,12,197,17,2,0
Connection: GW_C10,GW_E01,150,11,8,6,0,3
