GATE_LF_SB: -2566.068,258.0905,-2050.638,349.2666,1,0
GATE_LF_SU: 1323.934,-540.9098,1179.362,-447.7334,1,0
GATE_SI_LF: 1022.931,1124.091,812.3623,1064.266,1,0
LF_A01: -804.1688,-322.4433,-556.8247,-223.4324,0,1
LF_A02: -38.16881,-438.4433,52.17545,-276.4326,0,1
LF_A03: 82.8313,271.5567,-55.82441,300.5676,1,1
LF_A04: 910.8312,278.5567,760.1758,318.5676,1,1
LF_A05: -1208.167,274.5573,-989.8242,197.5676,1,1
LF_A06: 1299.833,268.5567,1018.174,314.5676,1,1
LF_A07: 1158.833,765.5565,926.1753,761.5677,1,1
LF_A10: -449.1691,215.5569,-167.8246,170.5676,0,1
LF_A11: 628.8312,-674.4429,634.1758,-617.4323,1,1
LF_A12: 447.8312,-657.4427,441.1758,-600.4323,1,1
LF_A13: 504.8315,-543.4429,505.1758,-468.4324,1,1
LF_A14: 1177.833,-558.4429,1062.174,-458.4324,1,0
LF_A15: -648.6541,298.3111,-587.5365,291.3154,1,1
LF_A17: 806.0646,-31.69905,1048.816,-83.53863,2,1
LF_B01: 314.8312,-349.4427,169.1755,-591.4323,1,1
LF_B02: 986.8329,19.55684,1180.174,-112.4326,2,1
LF_B03: 665.8312,-441.4432,545.1758,-285.4324,0,1
LF_B04: -1771.167,-315.4433,-1467.826,-199.4324,1,1
LF_B05: 735.8312,-506.4432,641.2756,-489.9074,1,1
LF_C01: 1058.833,-442.4433,808.1758,-284.4324,0,1
LF_C02: 290.8309,-438.4434,174.1754,-280.4324,0,1
LF_C03: -2257.166,255.5567,-1924.826,341.5676,1,1
LF_C05: 1159.321,989.3129,928.129,887.0684,1,1
LF_D01: 577.8312,83.55679,496.1761,-32.43268,2,1
LF_D02: -714.1688,150.5569,-467.8246,68.56722,2,1
LF_D03: 1511.833,289.5568,1258.174,145.5676,1,1
LF_D04: 949.8318,-621.4429,804.1758,-572.4323,1,1
LF_D06: -942.1674,-160.4431,-678.8242,-224.4324,2,1
LF_D07: -122.3001,-413.783,-345.1566,-586.5987,1,1
LF_D08: -1618.398,-143.9811,-1376.878,-24.62657,1,1
LF_E01: -143.1686,85.55679,-155.8245,-36.43233,2,1
LF_E02: 794.8312,214.5569,713.1758,173.5676,0,1
LF_E03: 18.83121,214.5569,69.17551,184.5678,0,1
