FB_GS01: 28.73271,-410.2801,120.9293,-402.0566,2,0
GATE_HI_SH: -2539.209,621.4875,-1528.487,883.3188,1,0
GATE_HW_SH: 351.6931,517.0226,-1313.676,437.5223,1,0
GATE_SH_FB: -124.3472,-393.8773,1.088582,-398.5964,2,0
GATE_SH_LW: -1967.2,-143.9108,-1192.676,169.5223,2,0
GATE_SH_SL: 2456.052,290.9961,1823.336,138.8975,1,0
GATE_SH_US: 791.6932,517.0226,378.324,-903.4777,1,0
GATE_SH_UW: 4009.864,32.35828,2572.509,-246.9815,0,0
GATE_TR_SH: -1829.97,-274.4409,-1535.161,-634.738,0,0
SH_A04: 1109.206,8.506387,912.7027,-44.69907,1,1
SH_A05: -1010.794,274.506,-192.2974,490.301,0,1
SH_A06: 18.20535,69.50632,-4.297221,210.3008,1,1
SH_A07: 591.2057,-48.49366,464.7026,77.30083,1,1
SH_A08: 1082.205,12.50634,1069.703,-176.699,2,1
SH_A09: 936.2055,13.50631,908.7027,-213.699,2,1
SH_A10: 630.2055,580.5058,477.7025,555.3007,1,1
SH_A11: -1518.794,325.5062,-796.2973,576.3007,1,1
SH_A12: -1371.794,338.5062,-644.2973,618.301,1,1
SH_A13: -1540.794,432.5062,-791.2973,808.301,1,1
SH_A14: -1369.794,435.5062,-599.2973,822.301,1,1
SH_A15: -1406.794,222.5059,-645.2973,479.301,1,1
SH_A16: -278.7951,-132.4941,-109.2974,26.30048,2,1
SH_A17: -420.7946,-227.494,-387.2969,18.30077,2,1
SH_A19: 568.2053,-159.4941,449.7026,-46.69926,1,1
SH_A21: 27.20535,274.506,363.7026,640.301,0,1
SH_A22: 385.2052,-236.4939,264.7027,-209.699,2,1
SH_A23: 894.2055,-87.49383,748.7027,-186.699,1,1
SH_A24: -244.7951,-243.4938,-275.2974,-229.699,1,1
SH_A25: -1670.794,331.5062,-914.2991,600.301,1,1
SH_A26: 1297.426,4.402125,1041.05,-41.93137,1,1
SH_B01: -681.7945,273.506,-196.2974,640.301,0,1
SH_B02: 254.2049,68.50635,127.7028,213.3008,1,1
SH_B03: 479.2053,211.5059,351.7028,221.3008,1,1
SH_B04: 826.2055,6.506385,652.7027,-33.69907,1,1
SH_B05: 356.205,-65.49361,187.7029,-61.69917,1,1
SH_B06: -550.7945,-288.4938,-539.2973,-178.699,1,1
SH_B07: 894.2052,-233.4939,645.7024,-422.6994,1,1
SH_B08: -688.935,371.0864,-76.29742,764.301,1,1
SH_B09: -856.7945,239.5063,-326.2974,527.301,2,1
SH_B10: 458.2052,-507.4942,52.70248,-573.699,1,1
SH_B11: -346.7947,-355.4938,-407.297,-412.6993,1,1
SH_B12: 603.2057,-345.4938,306.7028,-731.699,0,0
SH_B13: 724.252,-397.5663,355.1016,-488.6094,1,1
SH_B15: -929.748,32.434,-334.8984,266.3903,2,1
SH_B16: -1170.333,-16.54168,-559.5379,275.7891,2,1
SH_B17: -1174.273,-137.7807,-550.0899,156.1322,2,1
SH_C01: -290.7948,70.50615,50.70258,498.301,1,1
SH_C02: -1039.794,434.5062,-446.2973,849.301,1,1
SH_C03: -536.7945,100.5061,-222.2971,357.3007,2,1
