FI_A01: -1691.388,-715.0672,-1086.278,-554.4357,1,1
FI_A02: -1417.388,-695.0672,-977.2791,-553.4357,1,1
FI_A03: -971.3882,-579.0672,-764.2795,-551.4357,1,1
FI_A04: -963.3882,-347.0676,-640.2793,-294.4355,1,1
FI_A05: -414.468,-818.6465,-397.0733,-548.2645,2,1
FI_A06: 10.16843,-860.1006,-97.58255,-547.9919,2,1
FI_A07: 202.7756,-1030.172,92.29257,-680.3489,2,1
FI_B01: -964.3882,-230.0677,-663.2793,-163.4353,1,1
FI_B02: -723.3892,-238.0677,-535.2793,-140.4353,1,1
FI_B03: -411.3891,-239.0677,-309.2789,-140.4353,1,1
FI_B04: -152.3892,-238.0677,-88.27924,-135.4353,1,1
FI_B05: -1558.388,69.93244,-823.2791,-155.4353,2,1
FI_B06: -1223.39,185.9323,-714.2795,143.5646,2,1
FI_B07: -918.3893,181.9323,-463.2792,166.5647,2,1
FI_B08: -669.3891,181.9323,-308.2789,165.565,2,1
FI_B09: -399.389,177.9323,-155.2792,163.565,2,1
FI_B10: -156.3892,176.9323,1.720918,162.5647,2,1
FI_C01: 320.6108,-222.0677,313.7211,-91.43527,2,1
FI_C02: 101.6105,93.93256,169.7207,61.56461,2,1
FI_C03: 340.6109,20.93239,333.7211,36.56463,2,1
FI_C04: 531.6105,24.9327,452.7211,54.56462,2,1
FI_C05: 301.3837,151.5232,323.9484,175.8374,2,1
FI_C06: 546.3835,177.5232,450.9484,183.8374,2,1
FI_C07: 757.5499,258.9401,568.5733,90.08729,2,1
FI_C08: 298.5502,378.9401,350.5734,314.0873,2,1
FI_C09: 522.5502,383.9401,463.5734,310.0873,2,1
FI_C10: 298.5502,507.9401,172.5729,432.0873,2,1
FI_D01: -278.4501,620.9401,-87.42693,458.0873,1,1
FI_D02: -672.4501,708.9401,-357.4268,556.0872,1,1
FI_D03: -1022.45,661.9401,-513.427,563.0872,0,1
FI_D04: -1366.515,530.2625,-894.3947,436.6357,0,1
FI_E01: -312.8892,-429.2375,-339.6444,-390.8018,0,1
FI_E02: -20.88925,-428.2374,-68.64459,-389.8018,0,1
FI_E03: 168.1108,-271.2374,-16.64447,-278.8017,0,1
FI_E04: 566.2457,-272.5348,253.7067,-279.6936,0,1
FI_E05: 780.1178,-41.58612,107.5017,-174.3347,0,1
FI_E06: 629.6178,133.1639,-88.04831,18.36533,0,1
FI_E07: 250.4718,133.7006,-341.2678,20.19462,0,1
FI_E08: -149.4332,159.0339,-594.2443,10.90891,0,1
FI_E09: 1088.246,-302.5348,574.7066,-258.6936,0,1
FI_E10: 1324.798,-39.82672,847.6862,-49.53312,0,1
FI_E11: 1453.571,134.128,874.2544,153.0806,0,1
FI_E12: 1597.397,316.3454,1040.516,278.298,0,1
FI_E13: 1495.567,514.7921,900.1109,476.1278,0,1
FI_E14: 1226.692,516.0839,784.0484,461.7112,0,1
FI_E15: 963.6947,510.2266,596.7627,316.6091,0,1
FI_E16: 1218.493,764.2266,756.7227,617.6691,0,1
FI_E17: 1549.022,-155.9105,989.6247,-7.076002,0,1
FI_E18: 1557.022,-349.9105,1015.625,-211.076,0,1
FI_E19: 638.7932,294.8276,757.3276,161.8965,1,1
FI_S01: -1107.389,-348.0676,-757.2795,-293.4355,1,0
FI_S02: 601.6103,-103.0676,578.7212,-46.4354,2,0
FI_S03: -1648.89,659.7625,-915.6447,559.1981,0,0
FI_S04: 1128.572,-117.872,728.2542,-53.91943,0,0
GATE_FI_CC: -1803.89,576.7625,-1024.644,436.1982,0,0
GATE_FI_SL: 1708.531,-475.6463,1140.927,-191.2647,0,0
GATE_SU_FI: -1860.388,-717.0672,-1195.279,-556.4357,1,0
OffScreenDen_FI: -1300.387,56.93256,-423.279,-246.4354,1,1
Connection: FI_A01,FI_A02,40,16,6,9,0,2
Connection: FI_A01,GATE_SU_FI,7,8,45,9,2,0
Connection: FI_A02,FI_A03,93,9,14,9,0,2
Connection: FI_A03,FI_A04,91,103,23,6,1,3
Connection: FI_A03,FI_A05,161,16,44,15,0,2
Connection: FI_A04,FI_B01,24,29,28,6,1,3
Connection: FI_A04,FI_S01,14,14,32,18,2,0
Connection: FI_A05,FI_A06,70,12,41,8,0,2
Connection: FI_A06,FI_A07,93,6,6,13,3,2
Connection: FI_B01,FI_B02,47,31,6,27,3,3
Connection: FI_B01,FI_B05,8,24,62,14,3,3
Connection: FI_B02,FI_B03,94,30,17,31,3,3
Connection: FI_B02,FI_E01,48,2,16,11,3,3
Connection: FI_B03,FI_B04,94,26,21,28,3,3
Connection: FI_B04,FI_C01,56,24,11,15,0,3
Connection: FI_B05,FI_B06,60,106,6,22,3,3
Connection: FI_B06,FI_B07,91,19,2,22,0,2
Connection: FI_B07,FI_B08,69,25,12,24,0,2
Connection: FI_B08,FI_B09,60,20,2,22,0,2
Connection: FI_B08,FI_E08,46,4,10,5,3,3
Connection: FI_B09,FI_B10,69,23,12,24,0,2
Connection: FI_B10,FI_C02,63,8,8,59,3,3
Connection: FI_C01,FI_C03,36,24,23,2,1,3
Connection: FI_C01,FI_C04,96,26,24,3,1,3
Connection: FI_C02,FI_C03,50,16,4,20,1,2
Connection: FI_C03,FI_C05,13,31,26,2,1,3
Connection: FI_C03,FI_C04,43,17,4,17,0,2
Connection: FI_C04,FI_C06,26,31,15,2,1,3
Connection: FI_C04,FI_S02,37,14,38,24,3,1
Connection: FI_C05,FI_C08,24,32,9,2,1,3
Connection: FI_C05,FI_C06,46,15,2,15,0,2
Connection: FI_C06,FI_C09,15,32,14,2,1,3
Connection: FI_C06,FI_C07,45,17,21,12,0,2
Connection: FI_C07,FI_C09,26,74,45,5,2,0
Connection: FI_C08,FI_C10,32,32,121,6,1,3
Connection: FI_C08,FI_C09,45,13,2,11,0,2
Connection: FI_C09,FI_C10,40,31,184,5,1,3
Connection: FI_C10,FI_D01,10,18,92,9,3,3
Connection: FI_C10,FI_E15,212,15,6,11,0,2
Connection: FI_D01,FI_D02,10,65,111,16,3,3
Connection: FI_D02,FI_D03,12,14,60,11,3,3
Connection: FI_D03,FI_D04,20,2,211,19,3,1
Connection: FI_D04,FI_S03,20,30,24,12,2,3
Connection: FI_D04,GATE_FI_CC,20,21,36,5,2,3
Connection: FI_E01,FI_E02,99,12,8,11,0,2
Connection: FI_E02,FI_E03,36,31,9,1,1,3
Connection: FI_E03,FI_E04,110,22,4,22,0,2
Connection: FI_E04,FI_E05,116,27,14,14,0,3
Connection: FI_E04,FI_E09,116,23,5,48,0,2
Connection: FI_E05,FI_E06,30,70,109,16,1,3
Connection: FI_E06,FI_E07,9,16,111,15,3,3
Connection: FI_E07,FI_E08,4,18,99,10,2,0
Connection: FI_E09,FI_E10,166,57,30,10,1,3
Connection: FI_E10,FI_E19,27,70,15,1,1,3
Connection: FI_E10,FI_E17,52,15,4,30,0,2
Connection: FI_E10,FI_S04,7,13,29,18,2,0
Connection: FI_E11,FI_E12,105,31,22,4,1,3
Connection: FI_E11,FI_E19,13,16,31,33,3,1
Connection: FI_E12,FI_E13,22,73,92,4,1,3
Connection: FI_E13,FI_E14,13,13,45,11,2,0
Connection: FI_E14,FI_E16,24,32,34,6,1,3
Connection: FI_E14,FI_E15,2,13,104,9,2,0
Connection: FI_E17,FI_E18,10,1,7,73,3,1
Connection: FI_E18,GATE_FI_SL,43,21,11,19,0,1
