GATE_GW_SL: -2578.426,279.7232,-1816.707,240.1283,1,0
GATE_SB_SL: -1807.821,-205.9641,-1539.252,-744.4459,0,0
GATE_SH_SL: 399.5494,421.1756,592.8404,1103.46,2,0
SL_A02: 23.72348,167.787,252.3531,907.6525,2,1
SL_A03: -441.2764,-308.2131,-498.6461,-894.3475,0,1
SL_A04: -141.2763,-184.213,-45.64605,-286.3478,1,1
SL_A05: 287.7235,-287.2131,342.3539,-391.3478,1,1
SL_A06: -1093.275,-313.2131,-1013.646,-883.3475,0,1
SL_A07: -17.27598,-257.2131,111.3537,-410.3478,1,1
SL_A08: -2489.277,167.787,-1756.647,110.6525,1,0
SL_A10: -785.276,-326.2131,-664.6463,-229.3477,2,1
SL_A11: -4.054513,-98.21297,93.90904,-195.9868,1,1
SL_A12: -205.054,-67.21313,-95.09055,-158.9868,1,1
SL_A13: -104.5278,-66.21303,-5.274988,-32.64456,1,1
SL_A14: 209.6002,55.04337,455.289,760.8168,2,1
SL_A15: 3262.113,266.4763,2429.493,88.44115,0,0
SL_A16: 2644.484,278.9151,1955.719,113.7197,0,2
SL_A17: 20.7628,54.4665,252.86,761.113,2,1
SL_AI: 3488.245,185.854,2547.337,36.46328,0,2
SL_B01: -361.2761,248.7869,-160.6462,856.6525,2,1
SL_B02: 281.7241,170.787,443.3529,910.6525,2,1
SL_B04: 123.7235,399.7868,310.354,-11.3478,0,1
SL_C01: -160.2762,150.787,43.35366,809.6525,2,1
SL_C02: -1186.276,163.787,-924.6463,530.6525,0,1
SL_C03: 124.3736,36.26186,128.3537,-8.347749,0,1
SL_C04: -643.2764,-216.213,-508.6461,-436.3478,1,1
SL_C05: -1053.276,-324.2131,-865.6463,-422.3478,1,1
SL_C06: -770.2767,-310.2131,-869.6463,-886.3475,0,1
SL_C07: 1343.724,-208.213,1066.353,-431.3478,1,1
SL_C08: -1383.276,-223.2127,-1018.646,-441.3478,1,1
SL_C09: 2484.723,164.787,1743.353,19.65211,0,2
SL_C10: -1090.275,-229.2127,-798.6463,-253.3475,2,1
SL_C11: 562.8417,281.4304,731.4388,917.5671,2,1
SL_C12: -2179.826,161.2581,-1645.614,106.4781,1,0
SL_D01: -534.2764,95.78698,-479.6461,16.65215,1,1
SL_D02: -437.2764,-270.2127,-350.6461,-517.3483,1,1
SL_D03: -180.2762,-370.2131,-137.6463,-493.348,1,1
SL_D04: -188.2764,100.7872,-150.6461,460.6522,0,1
SL_D05: -1477.276,-315.2131,-1475.647,-878.3475,0,1
SL_D06: -822.276,162.787,-701.6461,917.6525,2,1
SL_E01: 119.7236,-193.2126,219.3539,-498.348,1,1
SL_E02: 808.7218,-306.2131,488.3537,-392.3478,1,1
SL_E03: 773.5665,54.5201,469.5741,-116.7798,2,1
SL_F01: -1633.276,99.7874,-1327.647,24.65215,1,1
SL_F02: -608.2764,97.78698,-513.6461,456.6522,0,1
SL_H02: 625.7236,100.7873,182.3539,476.6522,0,1
SL_H03: 1586.724,160.787,816.3528,13.65221,0,1
SL_I01: 2958.723,259.7869,2089.355,1.65221,0,2
SL_S02: 468.1119,332.4765,621.4939,1009.44,2,0
SL_S03: -201.2005,-107.5654,-211.0269,-229.9337,2,0
SL_S04: -737.2005,-239.5653,-733.0272,-774.934,0,0
SL_S05: -613.2005,132.4347,-403.0269,312.0662,0,0
SL_S06: 3259.173,372.2583,2427.385,201.478,0,0
SL_S07: -2606.319,167.7864,-1805.403,-23.04472,1,0
SL_S08: 1109.811,-195.3214,899.5367,-266.7893,1,0
SL_S09: -771.1011,-324.1964,-568.8029,-559.0217,1,0
SL_S10: 2529.22,278.3963,1816.001,110.499,0,0
SL_S11: 912.2713,-58.98306,768.9659,-252.9322,2,0
OffScreenDen_SL: -1103.275,-65.21303,-1212.647,-154.3477,1,1
Connection: GATE_GW_SL,SL_A08,36,5,9,32,3,1
Connection: GATE_SB_SL,SL_D05,36,5,5,31,3,2
Connection: GATE_SH_SL,SL_C11,45,11,5,100,0,2
Connection: GATE_SH_SL,SL_S02,36,5,17,17,3,2
Connection: SL_A02,SL_C01,10,28,40,76,3,0
Connection: SL_A02,SL_B02,35,28,12,30,3,3
Connection: SL_A02,SL_A17,7,10,8,27,3,1
Connection: SL_A03,SL_C06,3,30,141,27,2,0
Connection: SL_A03,SL_D03,44,27,8,72,0,2
Connection: SL_A04,SL_S03,4,29,23,12,2,3
Connection: SL_A04,SL_A12,21,31,27,3,1,3
Connection: SL_A04,SL_A13,28,31,16,2,1,3
Connection: SL_A04,SL_A11,35,31,4,5,1,3
Connection: SL_A04,SL_D03,9,10,51,72,0,0
Connection: SL_A05,SL_E02,42,29,7,30,0,2
Connection: SL_A05,SL_E01,4,13,45,66,2,0
Connection: SL_A06,SL_D05,2,17,201,16,2,0
Connection: SL_A06,SL_C06,45,17,2,15,0,2
Connection: SL_A07,SL_E01,39,23,4,86,0,2
Connection: SL_A07,SL_D03,11,18,92,70,2,0
Connection: SL_A08,SL_S07,4,18,29,18,2,0
Connection: SL_A08,SL_C12,47,15,2,17,0,2
Connection: SL_A10,SL_C10,3,18,49,30,2,0
Connection: SL_A10,SL_D02,44,18,4,63,0,2
Connection: SL_A11,SL_C03,31,32,16,23,1,3
Connection: SL_A12,SL_D04,10,31,34,63,1,3
Connection: SL_A13,SL_C01,16,33,24,21,1,3
Connection: SL_A14,SL_B02,23,33,31,13,1,3
Connection: SL_A14,SL_A17,2,4,44,4,2,0
Connection: SL_A14,SL_E03,40,4,5,4,0,2
Connection: SL_A15,SL_S06,43,32,31,20,1,0
Connection: SL_A15,SL_I01,3,21,144,66,2,0
Connection: SL_A15,SL_AI,44,3,2,30,0,1
Connection: SL_A16,SL_S10,4,26,30,26,2,0
Connection: SL_A16,SL_I01,43,13,4,62,0,2
Connection: SL_A16,SL_C09,43,3,151,32,3,1
Connection: SL_B01,SL_C01,42,16,9,53,3,3
Connection: SL_B01,SL_D06,3,29,194,14,3,3
Connection: SL_B02,SL_C11,104,32,5,39,3,2
Connection: SL_B04,SL_E01,23,98,21,204,3,1
Connection: SL_B04,SL_C03,33,62,42,114,3,3
Connection: SL_C02,SL_F01,14,9,171,22,3,3
Connection: SL_C02,SL_D06,55,18,24,22,3,3
Connection: SL_C02,SL_C10,102,15,30,112,3,1
Connection: SL_C02,SL_F02,164,7,3,57,3,3
Connection: SL_C03,SL_E01,23,100,11,165,3,2
Connection: SL_C04,SL_D01,26,112,12,58,1,3
Connection: SL_C04,SL_C05,4,28,159,20,2,0
Connection: SL_C05,SL_C08,6,31,42,42,2,0
Connection: SL_C05,SL_S09,155,31,13,31,0,2
Connection: SL_C06,SL_S04,92,30,24,13,0,3
Connection: SL_C07,SL_H03,20,112,143,31,1,3
Connection: SL_C07,SL_E02,1,28,248,18,2,0
Connection: SL_C08,SL_F01,27,112,189,62,1,3
Connection: SL_C09,SL_H03,4,17,425,23,2,0
Connection: SL_C12,SL_F01,143,17,6,58,0,2
Connection: SL_D01,SL_D02,82,63,23,145,3,1
Connection: SL_D02,SL_D03,49,63,2,60,0,2
Connection: SL_D04,SL_F02,24,62,127,49,3,3
Connection: SL_D04,SL_H02,70,61,31,66,3,3
Connection: SL_D06,SL_F02,113,31,62,64,3,3
Connection: SL_E02,SL_S08,240,32,35,10,1,3
Connection: SL_E03,SL_H03,230,30,57,8,1,3
Connection: SL_E03,SL_S11,173,9,22,17,3,1
Connection: SL_F02,SL_S05,64,64,9,19,3,2
Connection: SL_H02,SL_H03,180,51,38,11,3,3
