GATE_HW_SH: 2455.874,-68.40625,1936.464,-7.959824,1,0
GATE_LF_HW: -2649.126,-151.4062,-2172.536,-206.9598,1,0
HW_A02: -2196.126,-126.4062,-1805.536,-216.9598,1,1
HW_A04: -1656.126,19.59365,-1450.536,-79.95988,1,1
HW_A05: -1556.126,87.59367,-1326.536,-56.9599,0,1
HW_A06: -1528.126,195.5938,-1301.536,71.04018,1,1
HW_A07: -1357.126,277.5938,-1121.536,190.0402,1,1
HW_A08: -1600.126,-108.4062,-1203.536,-197.9598,0,1
HW_A10: -1216.126,266.5938,-939.5369,221.0402,1,1
HW_A11: -1234.126,-60.40636,-981.5369,-10.95996,1,1
HW_A13: -1067.126,-105.4062,-777.5369,-174.9598,0,1
HW_A16: -1334.126,400.5938,-954.5369,365.0402,1,1
HW_A18: -159.4823,-202.7857,-114.893,-213.3393,1,1
HW_A19: -13.48227,-83.78573,-17.89308,-12.33933,1,1
HW_A22: 364.5177,-69.78572,278.107,-17.33934,1,1
HW_A23: 481.5176,-196.7857,377.107,-187.3393,1,1
HW_A25: 544.5179,174.2143,405.107,201.6607,1,1
HW_A26: 677.5179,-189.7857,552.1069,-179.3393,1,1
HW_A28: 697.5179,180.2143,558.1069,220.6607,0,1
HW_A30: 808.518,289.2143,693.1069,359.6608,1,1
HW_A33: 823.718,-210.7857,712.3071,-185.3393,1,1
HW_A35: 1055.518,172.2143,916.1069,237.6607,1,1
HW_A37: 1273.518,-104.7857,962.1069,-25.33937,0,1
HW_A38: 1298.518,152.2143,1067.107,231.6607,1,1
HW_A39: 1408.518,-107.7857,1094.107,-11.33933,0,1
HW_A40: 1319.518,-188.7858,1081.107,-180.3393,1,1
HW_A41: 1425.518,271.2143,1209.107,358.6608,0,1
HW_A43: 1518.518,-64.7857,1211.107,-9.33933,1,1
HW_A46: 1965.518,-124.7857,1551.107,-18.33934,1,1
HW_B01: -2422.126,-150.4062,-2040.536,-210.9598,1,1
HW_B09: -1373.126,111.5937,-1166.536,-38.95987,1,1
HW_B12: -1347.126,-106.4062,-1063.536,-187.9598,0,1
HW_B14: -1038.126,-42.40636,-730.5369,-18.95998,1,1
HW_B17: -281.4825,-92.78573,-279.893,-8.339337,1,1
HW_B21: 173.5177,-27.78573,115.1069,-29.33934,1,1
HW_B24: 535.518,-0.7857481,407.107,-10.33933,1,1
HW_B27: 687.5179,1.214253,550.1069,-19.33936,1,1
HW_B31: 854.518,95.21427,725.1069,133.6607,1,1
HW_B32: 839.5179,-82.78573,707.1069,-40.33934,1,1
HW_B36: 1076.718,-176.7857,834.3071,-185.3393,1,1
HW_B42: 1470.518,99.21427,1210.107,136.6607,1,1
HW_B45: 1741.518,-102.7858,1323.107,-8.33933,1,1
HW_B47: 2209.518,-89.78574,1677.107,-4.339332,1,1
HW_C03: -1899.126,-111.4063,-1658.536,-212.9598,1,1
HW_C15: -739.126,-95.40633,-605.5369,-8.959941,1,1
HW_C20: 170.5177,-196.7857,16.10693,-191.3393,1,1
HW_C29: 623.518,419.2143,565.1069,345.6608,1,1
HW_C34: 1115.518,285.2143,874.1069,360.6608,0,1
HW_C44: 1629.518,-197.7858,1212.107,-137.3393,0,1
HW_connec: -1106.717,152.8665,-856.1277,97.31287,1,1
HW_S01: -1879.126,-119.4063,-1506.536,-306.9598,0,0
HW_S02: -1361.126,380.5938,-1089.536,311.0402,0,0
HW_S03: -753.126,-202.4062,-472.5368,-213.9598,1,0
HW_S04: 975.5179,83.21425,905.1069,107.6607,1,0
