CC_A02: -906.9804,-517.99,-743.1261,-329.0385,1,1
CC_A06: -351.98,902.01,-232.1259,899.962,0,1
CC_A07: -251.9801,-527.99,-239.1259,-315.0385,1,1
CC_A10: -575.98,30.0097,-476.126,240.9615,1,1
CC_A12: -1061.98,-540.99,-888.1261,-310.0385,1,0
CC_A15: -359.98,326.0098,-223.1259,254.9614,0,1
CC_A16: -908.9804,-630.99,-738.1261,-459.038,1,0
CC_A17: 546.8161,-523.9568,500.6371,-421.8115,1,1
CC_B01: -577.98,-182.9901,-482.126,8.961426,1,1
CC_B04: 276.02,702.01,339.874,495.9615,1,1
CC_B05: -435.98,-360.9903,-363.126,-160.0385,0,1
CC_B06: -580.98,-450.9901,-481.126,-203.0385,2,1
CC_B08: -353.98,-143.9905,-226.1259,-18.03837,0,1
CC_B10: 774.0202,-29.99012,877.8731,50.96168,2,1
CC_B11: 129.02,-522.99,123.874,-295.0385,2,1
CC_B12: 78.48241,-219.0511,162.3048,-46.70019,1,1
CC_B13: 598.0638,206.8842,585.8267,233.2029,1,1
CC_B14: 744.795,-221.9842,674.9064,-96.81757,1,1
CC_C03: 360.0196,-404.9903,360.874,-318.0385,2,1
CC_C04: 393.0201,398.0095,457.8739,300.9616,1,1
CC_C05: 786.0202,162.0098,708.8739,165.9616,1,1
CC_C07: -363.98,641.01,-236.1259,546.9615,0,1
CC_C08: -582.98,-524.99,-599.126,-316.0385,1,1
CC_C09: -713.9801,884.01,-619.126,915.962,0,1
CC_C11: -81.97983,-420.9903,-102.1261,-343.0385,1,1
CC_C12: -355.98,1173.01,-242.1259,1057.962,0,1
CC_C13: -33.67983,323.5974,-108.0466,267.2187,2,1
CC_D01: 273.02,360.0096,209.8741,190.9617,2,1
CC_F01: 412.0896,-219.323,279.7489,-21.96117,1,1
CC_FB01: -74.80161,97.41618,-14.55123,-19.57867,2,1
CC_FB02: 168.4035,-165.0454,131.9358,-644.7324,0,1
CC_FB03: 496.4032,-268.0454,323.9358,-646.7324,2,1
CC_FB04: 422.062,-167.0943,323.0333,-505.879,2,1
CC_FB05: 780.5381,-381.38,457.7954,-783.6409,2,1
CC_FBS01: 476.5762,-380.9149,334.0078,-782.0659,2,0
CC_H01: 299.0203,904.01,-37.12609,883.962,0,1
CC_N03: 842.1318,-582.0622,498.1634,-186.7325,0,1
CC_S01: -1142.496,-537.4836,-1007.806,-305.517,1,0
CC_S03: 472.5039,-526.4836,626.1939,-299.517,2,0
CC_S03l: 659.3318,381.4629,499.1634,-300.7325,1,0
CC_S04: -1030.79,772.2224,-712.806,805.4833,0,0
CC_S05: 275.1811,693.7368,199.5369,574.9688,2,0
GATE_CC_FB: 1098.213,-374.9149,817.1443,-786.3386,2,0
GATE_CC_UW: 910.8488,823.0786,723.2877,882.8583,0,0
GATE_FI_CC: 1129.132,-627.0622,752.1634,-255.7325,0,0
GATE_HI_CC: -897.1526,-714.9214,-730.7123,-576.1417,1,0
GATE_SI_CC: -1082.153,912.0786,-753.7123,932.8583,0,0
OffScreenDen_CC: -674.9798,478.0097,-713.1261,35.96153,1,1
Connection: CC_A02,CC_C08,48,12,11,14,0,2
Connection: CC_A02,CC_A12,3,11,36,18,2,0
Connection: CC_A02,CC_A16,19,2,17,35,3,1
Connection: CC_A06,CC_C12,27,29,45,16,3,3
Connection: CC_A06,CC_C09,8,8,134,12,3,3
Connection: CC_A06,CC_H01,43,8,5,8,3,3
Connection: CC_A06,CC_C07,27,5,44,108,3,3
Connection: CC_A07,CC_C08,4,11,142,14,2,0
Connection: CC_A07,CC_C11,33,4,21,11,3,3
Connection: CC_A10,CC_B01,16,5,33,65,3,3
Connection: CC_A12,CC_S01,11,19,23,25,2,1
Connection: CC_A15,CC_C07,25,21,47,17,0,3
Connection: CC_A15,CC_C13,25,17,4,17,0,2
Connection: CC_A15,CC_B08,25,15,10,72,0,3
Connection: CC_A16,GATE_HI_CC,15,3,11,19,3,1
Connection: CC_A17,CC_C03,3,6,47,8,2,0
Connection: CC_B01,CC_B06,24,15,24,75,3,1
Connection: CC_B04,CC_S05,23,58,21,27,3,1
Connection: CC_B04,CC_D01,10,11,13,141,3,2
Connection: CC_B04,CC_C04,38,11,11,108,3,3
Connection: CC_B05,CC_B08,90,29,20,3,3,3
Connection: CC_B05,CC_B06,14,11,27,52,3,3
Connection: CC_B06,CC_C08,27,10,89,13,3,2
Connection: CC_B10,CC_C05,27,52,33,10,3,3
Connection: CC_B10,CC_B14,27,10,37,73,3,3
Connection: CC_B11,CC_C11,7,11,39,20,2,0
Connection: CC_B11,CC_C03,101,6,6,8,0,2
