GATE_RW_SB: -2302.263,-430.3297,-1514.235,-583.9125,2,0
GATE_RW_SL: -3911.264,-386.3298,-2558.234,-606.9125,1,0
GATE_RW_SS: 5044.736,240.6702,3624.766,338.0872,1,0
RW_A01: -488.2627,-207.3298,-186.2344,-142.9127,2,1
RW_A02: -262.2628,-226.3296,-26.23431,-143.9127,2,1
RW_A03: -492.2627,-281.3297,-176.2341,-420.9128,0,1
RW_A04: -491.263,-167.3296,-178.2341,-304.9131,0,1
RW_A05: -262.2628,-233.3296,-61.23425,-390.9128,0,1
RW_A06: -355.2627,-752.3297,-104.2342,-960.9125,0,1
RW_A07: -689.5486,31.51444,-333.4551,131.1135,2,1
RW_A08: -368.263,-507.3298,-108.2342,-663.9125,0,1
RW_A09: -968.2635,-381.3297,-478.2341,-379.9128,2,1
RW_A10: 296.7373,-55.32974,209.7659,-52.91273,2,1
RW_A11: -1029.262,-87.32973,-541.2339,-17.91272,1,1
RW_A12: -359.263,-392.3297,-107.2343,-534.9125,0,1
RW_A13: -854.2626,-62.32977,-419.2341,-2.912701,1,1
RW_A14: -1263.265,-373.3297,-711.2338,-369.9128,2,1
RW_A15: -812.2629,-382.3297,-314.2343,-379.9128,2,1
RW_A16: -1116.265,-357.3297,-594.2338,-360.9128,2,1
RW_A17: -928.2626,-271.3297,-454.2343,-254.9127,2,1
RW_A18: -77.26297,-124.3295,97.76575,-279.9131,0,1
RW_A19: -699.2626,-78.32973,-301.2343,-15.91269,1,1
RW_A20: -801.2629,-163.3296,-425.2343,-130.9127,2,1
RW_A21: 445.7375,236.6704,283.7657,225.0873,1,1
RW_A22: 440.737,59.67026,308.7659,90.0872,1,1
RW_A23: 286.7373,63.67026,197.7659,76.0872,1,1
RW_A24: 514.7371,-53.32976,356.7659,-27.91271,1,1
RW_A25: 595.7371,131.6704,423.7659,140.0873,1,1
RW_A26: -173.2627,-5.329626,82.76565,50.08719,1,1
RW_A27: 380.7373,350.6703,241.7657,407.0873,1,1
RW_A28: 399.737,-167.3296,281.7659,-179.9127,1,1
RW_A29: 155.7373,173.6704,81.76573,181.0874,1,1
RW_A30: -444.2631,-11.32971,-187.2344,45.08715,1,1
RW_A31: 3.451278,163.5145,-37.4551,174.1133,1,1
RW_A32: -821.5215,146.3543,-946.4921,89.64781,1,1
RW_B01: -2847.263,-940.3304,-2043.235,-964.9125,2,1
RW_B02: -2309.263,-863.3298,-1613.235,-879.9125,2,1
RW_B03: -2769.264,-415.3297,-2046.235,-576.9125,2,1
RW_B04: -470.263,-1005.329,-221.2341,-974.9125,2,1
RW_B05: -1147.265,-889.3301,-750.2338,-855.9125,2,1
RW_B06: -1850.264,-862.3298,-1291.235,-876.9125,2,1
RW_B07: -3228.263,-694.3298,-2162.234,-872.9125,2,1
RW_B08: -1466.265,-963.3301,-975.2338,-986.9125,2,1
RW_B09: -925.2635,-1009.329,-749.2338,-978.9125,2,1
RW_B10: -2180.264,-159.3296,-1386.235,-391.9128,1,1
RW_B11: -1414.265,-381.3297,-829.2338,-373.9128,2,1
RW_B12: -3759.264,-384.3297,-2442.234,-604.9125,1,1
RW_B13: -2595.263,-132.3296,-1810.235,-358.9128,1,1
RW_B14: -1770.264,-206.3298,-1271.235,-445.9128,1,1
RW_B15: -3535.263,-140.3296,-2663.234,-358.9128,1,1
RW_C01: 584.736,494.6702,328.7659,552.0875,0,1
RW_C02: 1824.735,617.6703,1265.765,662.0875,0,1
RW_C03: 2018.737,443.6703,1504.765,464.0872,1,1
RW_C04: 1436.736,433.6702,1040.765,469.0872,1,1
RW_C05: 564.7371,494.6702,375.7657,792.0875,2,1
RW_C06: 1068.736,574.6703,787.7663,590.0875,0,1
RW_C07: 699.7368,681.6703,460.7659,959.0886,1,1
RW_C08: 866.7371,478.6702,635.7659,547.0875,0,1
RW_C09: 866.7371,477.6702,554.7659,706.0875,1,1
RW_C10: 2187.736,494.6703,1501.765,621.0875,0,1
RW_C11: 414.737,460.6702,262.7657,788.0875,1,1
RW_C12: 1400.736,612.6703,900.7659,657.0875,0,1
RW_C14: 917.7368,501.6702,667.7663,680.0875,2,1
RW_C15: 816.7374,619.6703,488.7659,839.0875,2,1
RW_C16: -1455.871,85.98474,-1394.752,168.9303,0,1
RW_C17: -90.23571,278.1125,-377.2393,269.23,2,1
RW_C18: 320.0797,496.0293,124.9226,536.2267,0,1
RW_C19: -154.2363,620.1125,-417.2392,717.2302,2,1
RW_C20: -153.2363,392.1125,-418.2392,403.23,2,1
RW_C21: -1462.87,-74.01535,-1163.752,-25.06968,0,1
RW_C22: -360.7007,212.5777,-606.2269,242.8349,0,1
RW_C23: -153.2363,505.1125,-419.2392,553.2302,2,1
RW_C25: -212.7006,-3.422332,-460.2272,141.8349,0,1
RW_C26: -670.7007,125.5777,-833.2269,195.8349,0,1
RW_C27: -516.7007,136.5778,-718.2269,205.8349,0,1
RW_C28: -153.2363,764.1125,-421.2393,885.2302,2,1
RW_C30: 106.7628,594.3978,-24.40377,691.9531,1,1
