GATE_CC_UW: -2655.938,-182.3991,-1945.705,-83.57323,1,0
GATE_SH_UW: 2363.933,-2338.656,1999.73,-1822.421,1,0
GATE_SS_UW: -638.6294,2463.794,-570.0784,2000.561,0,0
GATE_UW_SS: 1461.637,146.0008,1052.745,138.2018,0,0
UW_A01: -2781.447,325.2638,-2111.086,299.2781,0,3
UW_A02: -2786.447,1076.263,-2108.086,879.2782,0,3
UW_A03: 259.5525,-175.7361,228.9129,-80.7217,0,2
UW_A04: -527.4472,-239.7359,-419.0872,-202.7216,0,2
UW_A05: -248.4475,-180.7361,-200.0873,-77.7217,0,2
UW_A06: 1090.553,-184.7361,845.913,-179.7216,0,2
UW_A07: 2516.553,-1609.736,2071.914,-1215.723,1,1
UW_A08: 1944.554,-182.7361,1511.913,-150.7216,0,2
UW_A09: 2693.553,-1139.736,2143.914,-763.7218,1,1
UW_A10: 246.2188,3.16397,227.7466,43.21183,0,2
UW_A11: 1082.221,-8.836036,840.7457,37.21183,0,2
UW_A12: -2489.353,2359.476,-1911.342,1865.75,0,0
UW_A13: -2622.322,1725.558,-1920.119,1416.25,0,3
UW_A14: -2490.355,2478.167,-1911.289,1997.375,0,0
UW_B01: 2919.22,-316.9537,2217.688,-221.8764,0,0
UW_C01: -13.44721,-292.7362,-149.0871,-200.7216,0,2
UW_C02: -365.4473,-368.7362,-282.0872,-389.7216,0,2
UW_C03: 2213.553,-305.7362,1634.913,-218.7213,0,2
UW_C04: -1544.446,-247.7359,-1248.087,-208.7213,0,2
UW_C05: -2320.447,-406.7362,-1843.087,-296.7216,1,0
UW_C06: 2690.553,-1480.736,2143.914,-1070.723,1,1
UW_C07: -956.3576,2480.167,-911.2888,2001.375,0,0
UW_C08: 1146.303,113.8469,731.9968,115.8187,0,2
UW_D01: -2782.447,21.2638,-2104.086,-81.72167,0,3
UW_D02: 2512.553,-2126.736,2074.914,-1682.723,1,1
UW_D03: 2357.553,-700.7365,1819.913,-623.7218,1,1
UW_D04: 2600.553,-391.7362,1962.913,-312.7216,1,0
UW_D05: -953.4472,-240.7359,-901.0878,-200.7216,0,2
UW_D06: -1934.446,-334.7362,-1503.087,-305.7216,1,0
UW_D07: -2710.447,-341.7362,-2082.086,-297.7216,0,3
UW_E01: -2785.447,1422.264,-2106.086,1027.277,0,3
UW_E02: 2354.553,-1660.736,1948.913,-1406.723,1,1
UW_E03: 2515.553,-1140.736,1948.913,-938.7213,1,1
UW_E04: 1516.554,-296.7362,971.9133,-204.7214,0,2
UW_F01: -2785.781,2066.163,-2105.253,1461.209,0,3
UW_H01: -1803.78,2476.164,-1763.255,2001.208,0,0
UW_I01: 677.5528,-1.736115,408.9127,-33.72176,0,2
UW_J01: -2871.447,699.2633,-2225.086,426.2784,0,3
UW_J02: 676.5528,-357.7362,303.9128,-278.7216,0,2
UW_S01: -1703.046,-389.9503,-1268.962,-302.5297,1,0
UW_S02: 980.9538,-116.9507,735.0391,-34.52985,0,0
UW_S03: -2508.629,1725.793,-1801.078,1416.561,0,0
UW_S04: -2619.379,-169.8128,-1944.876,41.13816,0,0
UW_S05: 2658.552,-2293.591,2183.143,-1657.036,1,0
UW_S06: 2693.368,-1225.979,2065.573,-834.9536,1,0
UW_S07: 3021.568,-196.0781,2332.43,-92.29399,0,0
OffScreenDen_UW: 704.5528,66.26392,926.9144,-694.7218,1,0
Connection: GATE_CC_UW,UW_D07,43,6,90,68,3,1
Connection: GATE_SH_UW,UW_D02,43,23,4,19,1,2
Connection: GATE_SS_UW,UW_C07,2,9,146,4,2,0
Connection: GATE_UW_SS,UW_C08,2,9,133,20,2,3
Connection: UW_A01,UW_J01,50,30,96,28,0,3
Connection: UW_A01,UW_D01,50,15,52,145,0,0
Connection: UW_A02,UW_E01,52,28,42,21,0,0
Connection: UW_A02,UW_J01,52,13,110,197,0,0
Connection: UW_A03,UW_A10,3,29,7,2,2,3
Connection: UW_A03,UW_C01,3,3,146,29,3,1
Connection: UW_A03,UW_J02,40,4,4,71,3,1
Connection: UW_A04,UW_D05,3,31,210,27,2,1
Connection: UW_A04,UW_C02,43,31,12,117,0,2
Connection: UW_A05,UW_C02,5,26,44,115,3,1
Connection: UW_A05,UW_C01,42,3,16,29,3,1
Connection: UW_A06,UW_A11,18,32,20,3,1,3
Connection: UW_A06,UW_J02,3,19,246,71,3,1
Connection: UW_A06,UW_E04,43,19,5,31,3,1
Connection: UW_A07,UW_C06,43,14,4,9,0,2
Connection: UW_A07,UW_E02,4,8,45,103,2,0
Connection: UW_A08,UW_E04,2,4,248,31,3,1
Connection: UW_A08,UW_C03,44,4,4,39,3,1
Connection: UW_A09,UW_E03,4,11,29,89,2,3
Connection: UW_A09,UW_S06,16,8,16,24,3,1
Connection: UW_A09,UW_C06,39,8,40,103,3,1
Connection: UW_A10,UW_I01,42,19,4,58,3,2
Connection: UW_A11,UW_I01,4,23,151,58,2,0
Connection: UW_A12,UW_A14,6,29,6,4,1,3
Connection: UW_A12,UW_H01,44,21,6,4,0,3
Connection: UW_A12,UW_F01,3,10,55,203,2,0
Connection: UW_A13,UW_F01,5,27,55,10,2,0
Connection: UW_A13,UW_S03,45,27,20,27,0,2
Connection: UW_A13,UW_E01,5,6,52,183,2,0
Connection: UW_B01,UW_S07,93,39,19,12,1,0
Connection: UW_B01,UW_D04,4,19,106,61,2,0
Connection: UW_C03,UW_D04,143,19,5,65,0,2
Connection: UW_C04,UW_D05,149,35,18,24,1,1
