GATE_SU_DS: -411.4351,-432.2843,-596.4863,-616.8098,2,0
GATE_SU_HI: 270.7386,324.4179,263.3826,540.86,1,0
GATE_LF_SU: -1901.436,92.71567,-1579.485,216.1902,1,0
SU_B13: 184.4822,248.3098,141.6139,444.8402,1,1
SU_A33: 187.4826,108.31,141.6139,313.84,1,1
SU_B04: 424.4828,100.3101,303.6142,253.8401,1,1
SU_A34: 189.4826,107.31,141.6139,188.8405,1,1
SU_A37: 664.4827,93.31017,577.6138,250.8401,1,1
SU_S04: 654.5651,165.4547,577.0792,371.1686,1,0
SU_A63: 822.4827,84.31017,752.6138,259.8401,1,1
SU_B12: 1064.481,75.31017,922.6138,259.8405,1,1
SU_A17: 1319.481,77.31013,1191.615,239.8401,1,1
SU_A40: 1459.481,29.3101,1350.615,90.84027,0,1
SU_B07: 1222.481,-2.689838,1095.615,-24.15984,0,1
SU_A02: 986.4821,7.310151,925.6138,-24.15985,0,1
SU_A53: 823.4827,19.31015,755.6138,-28.15979,0,1
SU_A39: 664.4827,23.31011,586.6138,69.84021,0,1
SU_A38: 659.4827,14.31015,590.6138,-74.15961,0,1
SU_A25: 749.4827,-104.6902,754.6138,-184.16,0,0
SU_A24: 748.4827,-215.6902,774.6138,-331.16,0,0
SU_A23: 576.4824,-214.6902,635.6138,-331.16,0,0
SU_A22: 473.4823,-322.6901,566.6143,-488.16,0,0
SU_C04: -58.41457,-226.3052,39.47242,-335.9969,1,0
SU_A41: 255.5858,-222.3052,374.4722,-333.9969,1,0
SU_A42: 264.5858,-120.3051,385.4722,-208.997,1,0
SU_A43: 416.5857,-215.3051,511.4722,-333.9969,1,0
SU_A44: 409.5857,-222.3052,318.4722,-489.9969,2,0
SU_S01: 360.5056,-329.0473,446.6615,-489.3026,0,0
SU_A06: 490.4825,14.31015,419.6141,-14.15985,0,1
SU_A36: 320.4823,9.310156,261.6142,10.84015,0,1
SU_B08: 77.4822,0.3101375,-10.38588,6.840216,0,1
SU_B09: -167.5174,62.3101,-187.3861,-1.15985,0,1
SU_A35: -119.5178,47.31007,-64.38582,138.8401,1,1
SU_A20: 31.4823,108.31,-5.385754,283.8401,1,1
SU_A31: -320.5175,82.31009,-317.3859,93.84015,1,1
SU_A32: -618.5173,-14.68987,-549.3862,107.8404,1,1
SU_B05: -948.519,-1.689908,-805.3862,106.8404,1,1
SU_A07: -1122.519,62.3102,-977.386,174.8401,1,1
SU_A45: -1751.836,64.87273,-1468.272,191.1273,1,0
SU_C02: -1448.519,66.31013,-1357.385,192.8401,1,1
SU_B06: -820.5176,245.3098,-718.3862,325.8402,1,1
SU_B11: -629.5173,432.3099,-642.3862,587.8398,1,1
SU_A12: -550.5173,316.3099,-488.3862,431.8402,1,1
SU_A13: -384.5177,432.3099,-394.3858,588.8398,1,1
SU_B02: -300.5177,250.3098,-328.3859,242.8401,1,1
SU_A29: -126.5175,91.31013,-170.3861,292.8401,1,1
SU_B10: -167.5175,-171.6902,-445.3859,-181.1599,2,1
SU_A10: -373.5175,-248.6902,-500.3862,-379.16,2,1
SU_B01: -544.5173,-281.6901,-654.3862,-462.16,2,1
SU_S03: -383.0797,-327.9229,-499.2767,-505.2536,2,0
SU_A04: -731.5173,-219.6902,-827.3862,-375.16,2,1
SU_C01: -910.5179,-332.6901,-961.3868,-532.1602,2,1
SU_B14: -659.2065,-446.7014,-826.7543,-625.2802,2,0
SU_A30: -733.5173,-331.6901,-823.3862,-498.16,2,1
OffScreenDen_SU: -588.5173,1149.31,392.6142,589.8398,1,0
Connection: GATE_SU_DS,SU_B14,2,9,98,14,2,0
Connection: GATE_SU_HI,SU_B13,2,9,26,56,2,0
Connection: GATE_LF_SU,SU_A45,45,9,3,18,0,2
Connection: SU_B13,SU_A33,15,16,14,34,3,1
Connection: SU_A33,SU_B04,44,31,7,33,0,2
Connection: SU_A33,SU_A20,3,27,47,28,2,0
Connection: SU_B04,SU_A37,100,22,6,23,0,2
Connection: SU_B04,SU_A34,4,2,45,2,2,0
Connection: SU_A34,SU_A20,2,12,49,12,2,0
Connection: SU_A37,SU_S04,23,31,23,18,1,3
Connection: SU_A37,SU_A63,47,23,10,23,0,2
Connection: SU_A37,SU_A39,26,18,25,33,3,1
Connection: SU_A63,SU_B12,39,25,5,25,0,2
Connection: SU_B12,SU_A17,99,13,6,11,0,2
Connection: SU_A17,SU_A40,48,22,2,24,0,2
Connection: SU_A40,SU_B07,2,17,99,25,2,0
Connection: SU_B07,SU_A02,5,23,49,21,2,0
Connection: SU_A02,SU_A53,4,21,46,19,2,0
Connection: SU_A53,SU_A39,3,29,37,26,2,0
Connection: SU_A53,SU_A38,8,7,48,5,2,0
Connection: SU_A53,SU_A25,29,3,41,27,3,0
Connection: SU_A39,SU_A06,6,26,49,27,2,0
Connection: SU_A38,SU_A06,6,5,49,6,2,0
Connection: SU_A38,SU_A25,27,8,15,24,3,1
Connection: SU_A25,SU_A23,6,14,42,30,2,0
Connection: SU_A25,SU_A24,48,5,38,24,3,1
Connection: SU_A24,SU_A23,14,10,46,9,3,0
Connection: SU_A23,SU_A22,6,12,29,27,2,1
Connection: SU_A22,SU_A43,23,27,34,12,1,3
Connection: SU_A22,SU_S01,12,16,31,18,2,0
Connection: SU_C04,SU_A41,151,11,5,9,0,2
Connection: SU_A41,SU_A42,19,29,10,3,2,3
Connection: SU_A41,SU_A43,48,23,6,23,0,2
Connection: SU_A41,SU_A44,47,5,4,5,0,2
Connection: SU_A06,SU_A36,4,25,48,26,2,0
Connection: SU_A36,SU_B08,5,5,102,8,2,0
Connection: SU_B08,SU_B09,1,7,48,8,2,0
Connection: SU_B09,SU_A31,2,48,44,7,2,0
Connection: SU_B09,SU_A35,29,51,14,27,3,1
Connection: SU_B09,SU_B10,24,12,22,74,3,1
Connection: SU_A35,SU_A20,48,22,3,2,0,3
Connection: SU_A20,SU_A29,5,20,49,20,2,0
Connection: SU_A31,SU_B02,3,29,3,3,1,2
Connection: SU_A31,SU_A32,3,3,39,31,3,1
Connection: SU_A32,SU_B05,2,10,36,16,2,0
Connection: SU_B05,SU_B06,49,69,9,45,0,3
Connection: SU_B05,SU_A07,8,57,49,12,3,0
Connection: SU_A07,SU_C02,4,10,144,9,2,0
Connection: SU_A45,SU_C02,44,20,8,19,0,2
Connection: SU_B06,SU_B11,40,73,10,3,0,3
Connection: SU_B06,SU_A12,40,69,4,22,0,2
