GATE_HI_SH: -2648.009,600.3982,-1684.492,803.8937,1,0
GATE_SH_SL: 2347.252,269.9068,1667.331,59.4724,1,0
GATE_SH_UW: 3901.064,11.26903,2416.505,-326.4066,0,0
SH_A04: 1000.406,-12.58286,756.6981,-124.1242,1,1
SH_A05: -1119.594,253.4168,-348.3018,410.8759,0,1
SH_A06: -90.59446,48.41708,-160.3017,130.8757,1,1
SH_A07: 482.4059,-69.58291,297.6982,-78.12428,1,1
SH_A08: 973.4056,-8.582901,913.6981,-256.1241,2,1
SH_A09: 827.4056,-7.582931,752.6981,-293.1241,2,1
SH_A10: 521.4056,559.4165,321.6981,475.8756,1,1
SH_A11: -1627.594,304.4169,-952.3019,496.8756,1,1
SH_A12: -1480.594,317.4169,-800.3019,538.8758,1,1
SH_A13: -1649.594,411.4169,-947.3019,728.8758,1,1
SH_A14: -1478.594,414.4169,-755.3019,742.8758,1,1
SH_A15: -1515.594,201.4166,-801.3019,399.8759,1,1
SH_A16: -387.5948,-153.5834,-265.3018,-53.12461,2,1
SH_A17: -529.5944,-248.5833,-523.3015,-92.12431,2,1
SH_A19: 459.4055,-180.5834,281.6982,-184.1244,1,1
SH_A21: -81.59446,253.4168,207.6981,560.8758,0,1
SH_A22: 276.4055,-257.5831,105.6982,-314.1241,2,1
SH_A23: 785.4056,-108.5831,592.6981,-266.1241,1,1
SH_A24: -353.5948,-264.5831,-418.3018,-237.1241,1,1
SH_A25: -1779.594,310.4169,-1070.304,520.8758,1,1
SH_A26: 1188.626,-16.68712,885.0456,-121.3565,1,1
SH_B01: -790.5944,252.4168,-352.3018,560.8758,0,1
SH_B02: 145.4052,47.4171,-28.30172,133.8757,1,1
SH_B03: 370.4055,190.4166,195.6983,141.8757,1,1
SH_B04: 717.4056,-14.58286,496.6982,-113.1242,1,1
SH_B05: 247.4053,-86.58286,31.69835,-141.1243,1,1
SH_B06: -659.5944,-309.5831,-668.3019,-215.1241,1,1
SH_B07: 785.4053,-254.5831,489.6979,-502.1245,1,1
SH_B08: -797.7349,349.9971,-232.3019,684.8758,1,1
SH_B09: -965.5944,218.417,-482.3018,447.8759,2,1
SH_B10: 349.4055,-528.5835,-103.302,-653.1242,1,1
SH_B11: -455.5945,-376.5831,-539.3016,-328.1244,1,1
SH_B12: 494.4059,-366.5831,150.6983,-811.1242,0,0
SH_B13: 615.4521,-418.6556,199.0971,-568.0346,1,1
SH_B15: -1038.548,11.34475,-490.9029,186.9652,2,1
SH_B16: -1279.133,-37.63092,-715.5425,196.364,2,1
SH_B17: -1283.073,-158.8699,-706.0945,76.70713,2,1
SH_C01: -399.5945,49.4169,-105.3019,418.8759,1,1
SH_C02: -1148.594,413.4169,-602.3019,769.8758,1,1
SH_C03: -645.5944,79.41685,-378.3015,277.8756,2,1
SH_C04: 524.4056,305.4169,318.6982,161.8757,1,1
SH_C05: 844.4056,297.4169,451.6982,75.87544,1,1
SH_C07: -1561.594,-54.58292,-838.3019,81.87544,2,1
SH_C08: -83.59459,-196.5834,-303.3018,-185.1243,1,1
SH_C09: -767.5474,-155.6554,-485.9029,70.9649,2,1
SH_C10: -392.5482,252.3445,-120.9029,556.9654,0,1
SH_C11: -2494.859,457.0358,-1567.119,624.6213,1,0
SH_C12: 470.1324,-200.0169,245.9055,-302.425,2,1
SH_C13: 2047.444,254.3309,1341.915,47.68167,1,0
SH_D01: -2118.592,356.4169,-1454.304,643.8758,1,1
SH_D02: -179.5948,-528.5835,-539.302,-656.1242,1,1
SH_D03: 3673.408,-58.58303,2173.698,-414.1244,0,2
SH_E01: 1716.406,-235.5832,866.6981,-684.1242,0,2
SH_E02: 39.40529,-486.5831,-409.3018,-854.1242,0,1
SH_E03: 949.4056,-234.5832,302.6982,-686.1242,0,2
SH_E04: 2496.245,-236.6714,1452.819,-677.6043,0,2
SH_E05: 1441.245,255.3284,811.8183,46.39536,1,1
SH_H01: 3206.245,-173.6717,1717.819,-515.604,0,2
SH_S01: -1672.594,-85.58297,-962.3019,162.8757,2,0
SH_S02: 650.4056,209.4168,444.6982,218.8759,1,0
SH_S03: -2578.97,492.3197,-1692.987,673.034,1,0
SH_S04: -993.0056,253.0738,-222.6422,409.2144,0,0
SH_S05: 2261.674,159.8158,1619.47,-55.57619,1,0
SH_S06: -347.1378,-347.0412,-413.1642,-376.6552,1,0
SH_S07: 532.8625,-314.0412,201.8358,-441.6552,1,0
SH_S08: -272.9254,-591.9188,-411.1284,-970.9508,0,0
SH_S09: 643.5259,-443.7872,277.9312,-818.2136,0,0
SH_S10: -330.3474,78.8889,-37.12495,278.1666,2,0
OffScreenDen_SH: 13.40528,-715.5835,598.6981,-502.1242,1,1
Connection: GATE_HI_SH,SH_C11,45,9,3,99,0,2
Connection: GATE_HI_SH,SH_S03,36,5,13,23,3,1
Connection: GATE_SH_SL,SH_C13,2,11,146,16,2,0
Connection: GATE_SH_SL,SH_S05,11,5,35,17,3,0
Connection: GATE_SH_UW,SH_D03,2,11,99,56,2,0
Connection: SH_A04,SH_E05,48,31,10,7,0,3
Connection: SH_A04,SH_B04,5,31,101,31,2,0
Connection: SH_A04,SH_A26,49,10,4,10,0,2
Connection: SH_A05,SH_S04,49,26,15,26,0,2
Connection: SH_A05,SH_B01,11,4,14,4,3,3
Connection: SH_A06,SH_C01,9,5,127,5,2,0
Connection: SH_A06,SH_B02,38,7,4,7,3,2
Connection: SH_A07,SH_C04,38,29,25,10,1,3
Connection: SH_A07,SH_B04,46,15,16,2,0,3
Connection: SH_A07,SH_B05,2,15,100,21,2,0
Connection: SH_A07,SH_A19,15,1,23,31,3,1
Connection: SH_A08,SH_A09,4,7,44,8,2,0
Connection: SH_A09,SH_A23,26,3,40,32,3,1
Connection: SH_A10,SH_C04,16,3,13,119,3,1
Connection: SH_A11,SH_A13,4,30,8,3,2,3
Connection: SH_A11,SH_A12,37,23,5,19,3,3
Connection: SH_A11,SH_A25,4,16,46,14,2,0
Connection: SH_A11,SH_A15,45,2,7,31,3,1
Connection: SH_A12,SH_A14,18,24,17,8,3,3
Connection: SH_A12,SH_A15,42,5,43,16,3,1
Connection: SH_A13,SH_A14,46,16,1,15,0,2
Connection: SH_A14,SH_C02,46,18,6,19,0,2
Connection: SH_A15,SH_C07,7,2,25,117,3,1
Connection: SH_A16,SH_C09,2,27,144,28,2,0
Connection: SH_A16,SH_A17,2,6,45,26,2,0
Connection: SH_A17,SH_B06,2,26,32,68,2,0
Connection: SH_A21,SH_C10,3,27,148,27,2,0
Connection: SH_A21,SH_C01,3,20,152,21,2,0
Connection: SH_A22,SH_B05,8,32,45,3,1,3
Connection: SH_A22,SH_C12,23,32,10,19,1,3
Connection: SH_A23,SH_B04,10,26,64,2,1,3
Connection: SH_A23,SH_C12,10,5,144,31,3,1
Connection: SH_A23,SH_B07,40,5,40,66,3,1
Connection: SH_A24,SH_C08,43,20,6,3,1,3
Connection: SH_A24,SH_B11,6,20,40,71,3,1
Connection: SH_A24,SH_S06,43,4,32,19,3,0
Connection: SH_A25,SH_D01,5,32,195,23,1,3
Connection: SH_A26,SH_E05,9,22,29,4,1,3
Connection: SH_B01,SH_C10,102,26,3,27,0,2
Connection: SH_B01,SH_B08,48,19,9,12,3,2
Connection: SH_B02,SH_B03,100,32,4,12,1,2
Connection: SH_B03,SH_C04,45,75,6,62,1,3
Connection: SH_B05,SH_C08,9,3,144,32,3,1
Connection: SH_B06,SH_B11,44,37,3,57,0,2
Connection: SH_B07,SH_B13,6,6,91,32,3,1
Connection: SH_B08,SH_C02,11,59,150,16,2,3
Connection: SH_B09,SH_C02,22,71,142,18,1,3
Connection: SH_B09,SH_C03,43,5,2,30,0,2
Connection: SH_B10,SH_B13,97,32,9,3,1,3
Connection: SH_B10,SH_D02,2,11,200,11,2,0
Connection: SH_B11,SH_D02,24,9,10,31,3,1
Connection: SH_B12,SH_E03,44,67,3,3,0,3
Connection: SH_B12,SH_S09,45,5,11,9,0,3
Connection: SH_B12,SH_E02,6,9,251,28,3,0
Connection: SH_B13,SH_S07,9,30,9,9,1,3
Connection: SH_B15,SH_C03,42,58,5,13,0,2
Connection: SH_B15,SH_B16,3,11,99,6,2,0
Connection: SH_B16,SH_C07,2,6,49,55,2,0
Connection: SH_B17,SH_C09,100,15,3,14,0,2
Connection: SH_B17,SH_C07,3,11,49,20,2,0
